dhkf⇥	卽使
hlth⇥	以此爲準
gmgt⇥	眯眼
ogki⇥	近現代史
jgws⇥	德芙
hzhl⇥	河海
egti⇥	寶盒
klnk⇥	傷患
qpwo⇥	西京
tmyd⇥	防護罩
zfnd⇥	同一性
teja⇥	院辦
fjhu⇥	百轉千回
pegj⇥	擰乾
tbsa⇥	醜男
fcya⇥	夏新
hcva⇥	總集
fdns⇥	下崗工人
jsmj⇥	易記
guas⇥	有點意思
oqpd⇥	磨掉
qjmw⇥	覆膜
eeob⇥	巨魔
hdqf⇥	網上聊天
vohs⇥	發綠
fnvc⇥	武道
kzbn⇥	何去
hziz⇥	湊出
mcjt⇥	遲到早退
lysm⇥	獨女
kthx⇥	僞滿
izek⇥	喫定
dend⇥	堅定性
glwo⇥	睡午覺
inhd⇥	中心線
ofas⇥	摩天樓
lkey⇥	每個字
jgdh⇥	早生
wyzs⇥	熟肉
mtou⇥	腿毛
xvkd⇥	奪佔
izsf⇥	出倉
usfv⇥	踝骨
jenv⇥	日工
oijf⇥	小口徑
hqsc⇥	没聽見
xjsf⇥	入倉
owiz⇥	反噬
ulur⇥	耍無賴
jgdf⇥	轉上
uglg⇥	團年
tsyq⇥	電光火石
hnau⇥	紅楓
koxe⇥	什麽名字
qjvc⇥	起首
djcz⇥	桌邊
jtdy⇥	很白
yaen⇥	新寧
ggds⇥	博山
fxnk⇥	一大串
kcwf⇥	凭藉
bxhm⇥	黃泥
hnhq⇥	紅紙
yhga⇥	羅勒
zujk⇥	免費軟件
sqzs⇥	婚内
qbtz⇥	硅鋼
hcdy⇥	泛白
ezqe⇥	割破
hzok⇥	清初
mcvm⇥	屋前
xitq⇥	名震
gyui⇥	乾燥劑
jisy⇥	五好
lquf⇥	每幅
hnwt⇥	紅警
gsds⇥	有婦之夫
uhfi⇥	踏過
fwkf⇥	惡仗
cwmz⇥	升調
bxad⇥	黃柏
vecb⇥	貧富不均
bieu⇥	報官
tkkr⇥	隨便你
xama⇥	大開方便之門
tpor⇥	鉛彈
etuf⇥	宣威
swvn⇥	數學公式
uimc⇥	回屋
fhau⇥	一力
ukjl⇥	夜巡
mlmj⇥	腹語
ejxf⇥	富貴病
sids⇥	龜山
ozey⇥	毛筆字
ixhf⇥	美編
ivai⇥	只問
hoor⇥	紅衣主教
dztz⇥	里程錶
psej⇥	搶運
otmp⇥	朗訊
ngkl⇥	心傷
emyh⇥	家務勞動
togv⇥	鎖具
nwmv⇥	怪誰
siui⇥	數國
uiqk⇥	國劇
wyyv⇥	薪火
ppfe⇥	那扇
xiac⇥	大嗓門
rliz⇥	哭出
jgfx⇥	轉天
qjck⇥	聽得到
sftw⇥	好一會兒
fpwr⇥	下拉菜單
ldcp⇥	無我
hwfr⇥	細菌武器
fpsc⇥	一看見
ybiz⇥	燒出
qumq⇥	碎屍
wboe⇥	蓋被
uiek⇥	齊家
pngo⇥	打心眼裏
pilw⇥	招財猫
qkzb⇥	超等
kfnm⇥	使能
jqgn⇥	最左
fshb⇥	留法
txdu⇥	除夕之夜
hfki⇥	盜伐
yaje⇥	親日
tzbu⇥	阿城
knhu⇥	代練
ttek⇥	烏雲密佈
wfaa⇥	荆楚
jfhn⇥	暗下決心
zsds⇥	内視
hkfs⇥	瀦留
wwbu⇥	藁城
jtwa⇥	待會兒
rglk⇥	二十年代
xhmh⇥	癡戀
gzew⇥	南頭
fhwj⇥	政治文明
tleb⇥	酷寒
ompd⇥	削掉
jdlq⇥	星盤
wkuv⇥	文化圈
rsjb⇥	急待
voms⇥	發脹
dsjb⇥	山後
wykr⇥	與子偕老
wacx⇥	華東師大
httj⇥	酒醒
wszt⇥	萬邦
dlbj⇥	鹽場
dhgf⇥	飛流直下
cinj⇥	不慢
sxxo⇥	姨太
lgmx⇥	年方
izbo⇥	喫壞
vzvj⇥	公私分明
htpc⇥	淨手
otna⇥	小牀
euwk⇥	翠花
pnqo⇥	抬走
nqjf⇥	通量
tmiw⇥	附屬中學
eglp⇥	寶船
xxew⇥	多寬
yzyy⇥	敵營
pxcz⇥	撒向
pcko⇥	手刃
hghz⇥	水漬
xaxf⇥	妄想症
ixnm⇥	美態
tjxl⇥	電魚
pmtt⇥	打預防針
luui⇥	航圖
kiui⇥	保國
psin⇥	抱恙
djku⇥	神佛
pujs⇥	打從
muek⇥	訂定
acht⇥	杯酒
zsoj⇥	内壓
nqjb⇥	性虐待
nhfd⇥	背下
pult⇥	打狗
oihn⇥	哀鴻
gvjg⇥	有道德
kmsi⇥	仿如
lvdb⇥	平樂
lhfe⇥	無法形容
coms⇥	交於
eifj⇥	知行
pqlw⇥	擄獲
iqib⇥	口吐
sizz⇥	如歌
tmbb⇥	鋸斷
xjds⇥	入山
tpnb⇥	含片
yjsd⇥	烤麵包
mzaj⇥	談笑間
xncj⇥	癡心不改
krpc⇥	豬手
nhfi⇥	背過
uasi⇥	困人
ebuc⇥	塞黑
fxml⇥	天遊
ssgk⇥	坐班
smeq⇥	女客
cvdf⇥	不分上下
dkrs⇥	白刃戰
pfbu⇥	鳳城
hgvk⇥	水盆
qnfc⇥	三夏
hfjd⇥	滿天星
bhcw⇥	報喜不報憂
mwxs⇥	護套
ajdw⇥	楊堅
tmbv⇥	防熱
usup⇥	劃成
mhuq⇥	尿路
pdgd⇥	段祺瑞
ueiy⇥	國家財産
djfj⇥	神州行
cveg⇥	至尊寶
krfu⇥	斃了
hiyd⇥	收購站
jmuq⇥	明路
zcai⇥	笑問
engv⇥	寢具
hhzm⇥	港澳同胞
ogtn⇥	補領
kalk⇥	休刊
onng⇥	強心
tmad⇥	爵士音樂
hcri⇥	活到老
assj⇥	林妹妹
vjxj⇥	前後夾擊
phkq⇥	承做
yapc⇥	火槍手
mqwz⇥	基礎學科
enwm⇥	密文
cmvs⇥	不計前嫌
heuh⇥	波束
sgoz⇥	全食
xfov⇥	多爾衮
yedp⇥	炸飛
herj⇥	練習者
fdpf⇥	下段
kgts⇥	傅雷
hsow⇥	泡饃
ujhf⇥	黑暗面
vmrj⇥	奠基者
ymuy⇥	燃盡
hfhn⇥	面紅
klmc⇥	你告訴我
qugy⇥	三國鼎立
xfjj⇥	病得
lukq⇥	製做
mzsi⇥	調人
qycb⇥	破爛不堪
bvsf⇥	增創
qior⇥	聖衣
ppse⇥	撒手人寰
qjtm⇥	起霧
uvfl⇥	建政
jgkr⇥	輔仁
xiie⇥	大邑
zstb⇥	泰姬陵
lsod⇥	艙裏
gkzt⇥	應節
yhds⇥	羅浮山
jmaw⇥	辯護權
qnaf⇥	三極
ppyd⇥	那端
sixm⇥	人望
wdvn⇥	歡樂頌
uiek⇥	國定
xvmf⇥	大發脾氣
ldst⇥	舟山群島
powf⇥	凡與
pvke⇥	扮作
qunj⇥	越慢
zywv⇥	秋葵
ycza⇥	孫策
ivfi⇥	只過
caab⇥	不相關
powf⇥	誓與
dbrj⇥	樂都
fuhz⇥	兩河
zoht⇥	春酒
ozzz⇥	食積
qimb⇥	殘肢
bnoa⇥	劫殺
xzix⇥	奇美
euub⇥	知恩圖報
xjsc⇥	入群
luxj⇥	歲入
qqvc⇥	石首
cbiq⇥	衆口
xjaq⇥	入閣
ncnw⇥	懂不懂
tqik⇥	句中
xzub⇥	共同市場
afhs⇥	極細
gicn⇥	有出息
ptrm⇥	摇臂
rwik⇥	曲中
uazc⇥	而笑
gmek⇥	瑞士軍刀
dtcc⇥	生命不息
zzad⇥	竺可楨
jfbw⇥	德爾塔
otlk⇥	小舟
votx⇥	發錯
oqpw⇥	反覆推敲
jhxn⇥	晦澀難懂
chhb⇥	臭水溝
jrjr⇥	很久很久
bcxf⇥	壞血病
hklf⇥	級次
pshg⇥	搶渡
bvqs⇥	勢要
kiyi⇥	側部
bqov⇥	坦克兵
vymm⇥	普羅米修斯
nhtd⇥	情比金堅
zzfm⇥	透透氣
nnih⇥	慢工出細活
oiiv⇥	小喇叭
nhhw⇥	北郵
kkhg⇥	修水
unwv⇥	感慨萬分
yqrk⇥	新石器時代
lhyl⇥	凌波微步
cxjb⇥	不多時
oukk⇥	毛條
jbho⇥	後浪
tobw⇥	更須
rqkh⇥	角化
voqa⇥	普朗克
izxc⇥	喫癟
lvlz⇥	每分每秒
zicb⇥	内出血
jgjz⇥	轉晴
pnvl⇥	捅進
tghz⇥	鐵網
mofm⇥	尾房
syai⇥	好問
ssrj⇥	創始者
xuza⇥	大費周章
krqh⇥	憋死
tufm⇥	鐘點房
zmfo⇥	税務所
muzm⇥	讀書筆記
qrno⇥	破解版
zmgf⇥	青縣
ydks⇥	龍的傳人
hjwk⇥	經典著作
tyza⇥	電子表格
bwxl⇥	黃花魚
nhiz⇥	背出
jptu⇥	後援會
engx⇥	軍工廠
xohi⇥	太淺
iwfo⇥	叩響
jbxi⇥	時艱
wdbm⇥	高嶺土
cdld⇥	不禮貌
odbf⇥	毛里塔尼亞
ximb⇥	難講
gfjg⇥	王爾德
hxkh⇥	經常化
gbho⇥	廣源
qbds⇥	虎山
eogb⇥	羽毛球場
neeq⇥	快客
nmor⇥	裝彈
lhqa⇥	無線耳機
djgk⇥	神鷹
tsdm⇥	受人之託
osyd⇥	小姑子
jvnh⇥	川北
hyuu⇥	淡市
lvdm⇥	平野
ppiq⇥	那口
bpbu⇥	幻城
cmdo⇥	六脉神劍
dsaf⇥	臥槽
doym⇥	之龍
gbsh⇥	馬累
pzdw⇥	攥緊
qpzm⇥	西青
khby⇥	假洋鬼子
jcnm⇥	較能
mlga⇥	這廂
gvxh⇥	十八世紀
houi⇥	滚回
iciw⇥	呂不韋
amgr⇥	閲讀理解
hqmi⇥	法西斯主義
vsaj⇥	雙人間
hslf⇥	以次
hzhe⇥	清波
xped⇥	世宗
otko⇥	小住
iuch⇥	由點到面
ppst⇥	手指甲
btsi⇥	堆雪人
lvzn⇥	平空
vtui⇥	鄭國
qhei⇥	盧灣區
jtfa⇥	轉念一想
ajsj⇥	東光
jtcr⇥	時隔不久
ujrs⇥	書單
rqwa⇥	角兒
slaw⇥	人身權
bzfh⇥	幾内亞比紹
xvof⇥	共飲
ugfv⇥	蹠骨
mnhu⇥	試練
sisv⇥	人夫
ewtj⇥	頭陣
bsah⇥	黃果樹
rilw⇥	老猫
bfza⇥	土政策
hhhi⇥	清涼油
nqzo⇥	情趣内衣
uika⇥	圖們
sybv⇥	好熱
tmsy⇥	愈好
hihi⇥	沖沖
putl⇥	打鳥
xfse⇥	大户人家
fbda⇥	天地之間
hyov⇥	水産業
lpbw⇥	冷卻塔
gggg⇥	直直
ohas⇥	小洋樓
esxx⇥	安多
gzqf⇥	再聊
viuj⇥	售書
mkfw⇥	迷你型
ghae⇥	廚櫃
fedf⇥	氣頭上
lozh⇥	物質利益
xhdc⇥	世紀之交
ndpx⇥	愷撒
ljau⇥	冷暴力
ewsi⇥	頭人
xnjj⇥	忘得
nsjb⇥	工人日報
uppk⇥	跌打損傷
aqfd⇥	標下
potu⇥	凡需
wnto⇥	高更
ijvm⇥	味甜
tohx⇥	鑲滿
putj⇥	打醒
aajh⇥	想想辦法
ewnm⇥	頗能
ldte⇥	無愛
kcgf⇥	任縣
mnry⇥	試教
pthb⇥	排除法
lhmv⇥	平流層
mlao⇥	預製板
jlbu⇥	車城
ebhj⇥	寒濕
yfxm⇥	還望
mirq⇥	誤觸
izhv⇥	出活
dsgv⇥	臥具
fiss⇥	過界
tmkh⇥	電吉他
accz⇥	橋邊
fkjm⇥	下個星期
zier⇥	剛喫完
dhsf⇥	生畏
vped⇥	叛匪
cijj⇥	禹州
dggb⇥	白玫瑰
tjtn⇥	電令
lyss⇥	獨坐
sdes⇥	男生宿舍
jsjs⇥	從輪
zmvc⇥	筋道
nwxf⇥	恐高症
ydhg⇥	端水
vksj⇥	分光
fdjw⇥	百順
eiem⇥	豆皮
xixi⇥	大吼大叫
kiek⇥	保家
vfld⇥	集體舞
nmno⇥	民族工業
pjyd⇥	提子
jssi⇥	易人
htdj⇥	酒桌
qblg⇥	虎年
tjqh⇥	電死
fasm⇥	事關全局
qpdp⇥	西祠
yfbw⇥	雅爾塔
uyyv⇥	風火
uimg⇥	國計
xcec⇥	名至實歸
cajb⇥	六時
iwxf⇥	善莫大焉
ayhb⇥	架子鼓
qtlc⇥	母獅
noci⇥	民主自由
fufm⇥	兩肩
rqsi⇥	解人
wxhp⇥	蘇浙
dptf⇥	飛雨
uhho⇥	踏浪
mjdf⇥	記上
wukz⇥	蕭何
zoag⇥	表相
wffw⇥	藝術形象
quui⇥	越國
kgxl⇥	刀魚
kfre⇥	偏色
iogb⇥	養馬
htuv⇥	緩建
ikck⇥	吸到
fmmq⇥	一股股
zxge⇥	稀世珍寶
jgpe⇥	早把
sqkb⇥	舒膚佳
hgxw⇥	河南大學
owlc⇥	返身
hemd⇥	淋巴腺
sdlc⇥	包身
fhzr⇥	求租
zidw⇥	魏忠賢
tpkt⇥	阿拉伯半島
yvjg⇥	火旺
hmmp⇥	港務局
fjdf⇥	顧得上
rsql⇥	單用
qhgu⇥	死盯
tnnd⇥	亂性
tggx⇥	鐵廠
kyhf⇥	倍添
ulll⇥	速射
mwpc⇥	護手
pbtg⇥	打地鋪
ayyj⇥	李煜
ldeh⇥	冰上運動
xiuj⇥	大書
yqfd⇥	烙下
cmis⇥	不認賬
hbpy⇥	滿地找牙
qisj⇥	聖光
hkza⇥	收件箱
wetw⇥	薛寶釵
dojg⇥	之德
woaa⇥	芝麻開門
qetm⇥	破防
emzr⇥	頭腦簡單
hptg⇥	浴霸
iatk⇥	另附
fmku⇥	氣促
nlsi⇥	狀如
qvyd⇥	覆盆子
ryic⇥	孝義
tagg⇥	陳真
mveq⇥	欺客
tsfw⇥	除惡
luza⇥	無路可逃
phnh⇥	捶背
weec⇥	觀察室
qxcl⇥	遷延
uimq⇥	齊腰
qhza⇥	三維空間
uimo⇥	國脉
dwoi⇥	腎衰
hztj⇥	以和爲貴
wtao⇥	菜板
smct⇥	怒其不爭
hswr⇥	細觀
ishv⇥	姜維
oime⇥	厚着臉皮
hbmh⇥	法屬
twib⇥	受驚嚇
okkh⇥	近代化
vqvx⇥	父母雙亡
jgtu⇥	早會
jgdf⇥	德福
bcsw⇥	熱血男兒
lyrt⇥	獨立戰爭
hubd⇥	動感地帶
ndpb⇥	牌技
zsmh⇥	内脂
hjlt⇥	濕冷
fmqo⇥	氣走
tnus⇥	亂畫
hfdh⇥	純生
yibn⇥	買去
eeok⇥	巨劍
wpej⇥	華軍
fhxm⇥	一望
txrj⇥	受難者
yqmp⇥	爐料
mfsy⇥	脾氣好
wysd⇥	叉燒包
twir⇥	陪葬品
wmpf⇥	文段
qmkr⇥	古幣
hejl⇥	波塞冬
veub⇥	發案率
iqjb⇥	敗走麥城
czos⇥	不可饒恕
nfup⇥	印成
qqbw⇥	石墩
jzje⇥	映日
uvfm⇥	書卷氣
nahb⇥	版權法
mbig⇥	講着
ukuq⇥	夜路
xjbl⇥	大昭寺
toeo⇥	鎖匠
ohjm⇥	永明
mxmm⇥	方誌
qjor⇥	瓜瓤
hrhg⇥	濃汁
grie⇥	玩吧
ogmn⇥	補胎
cvcv⇥	乎乎
tkhd⇥	金線
hbwd⇥	紅黃藍
fkdy⇥	末代皇帝
tihj⇥	合縱
auxj⇥	開國大典
cwrm⇥	自學考試
biui⇥	培養費
zsij⇥	肉味
zngs⇥	空座
tayb⇥	鐵板燒
culv⇥	阜平
wbmr⇥	荷塘月色
bxtz⇥	黃酮
yfuf⇥	罪惡感
aame⇥	禁言
rihc⇥	老千
zsso⇥	和好如初
yjud⇥	焊點
xflx⇥	世事無常
gmkd⇥	有仇
poto⇥	撬鎖
hwag⇥	紋章
ohjl⇥	餘波未平
atlf⇥	榆次
fkxl⇥	一條魚
forx⇥	天主教堂
pmti⇥	揉合
titt⇥	靈隱
kpcs⇥	疏失
uhmv⇥	踏勘
fwhr⇥	髒污
lroa⇥	狙殺
fsdj⇥	所見卽所得
bxuj⇥	黃書
kczb⇥	倒竈
hzaj⇥	河間
qkdu⇥	裂帛
jsig⇥	歇着
wkqt⇥	英倫三島
agbg⇥	植髮
dzov⇥	上等兵
kgpd⇥	俯拍
ubgo⇥	墨玉
sebg⇥	長頭髮
gfyg⇥	懸置
pvpv⇥	推推
qijw⇥	殘影
qegk⇥	確應
nwtp⇥	性觀念
phrj⇥	接收者
zgis⇥	算啥
hhak⇥	組織關係
vpfc⇥	半夏
bmdh⇥	土生
lvzk⇥	平利
ikzt⇥	中稻
snkd⇥	尋仇
mrtx⇥	放錯
xusi⇥	黨人
hvtu⇥	準會
lirq⇥	告解
oiki⇥	對側
srph⇥	嬌艶欲滴
kzwb⇥	伯利茲
ztti⇥	穩拿
ewho⇥	頭紗
zqes⇥	毒案
tsds⇥	雷山
gjrs⇥	韓戰
frnm⇥	體壯
ifje⇥	喫一塹長一智
yohz⇥	商業網
sxfx⇥	好多天
kspo⇥	伊凡
zprl⇥	節拍器
upes⇥	成安
lhrw⇥	此曲
tsob⇥	除魔
ltus⇥	無限風光
rsqi⇥	急聘
jeyf⇥	五官端正
bppg⇥	熱插拔
stil⇥	鴨嘴
yujk⇥	帝國時代
eisi⇥	知人
iplg⇥	哪年
cohg⇥	交纏
rgvc⇥	駡道
wgml⇥	若然
xmmr⇥	散放
aapz⇥	橫加指責
zhlt⇥	穩準狠
adow⇥	棉襪
pbwj⇥	那達慕
eufm⇥	官房
zenl⇥	管狀
jajb⇥	晃來晃去
uihg⇥	回水
jges⇥	德安
ptva⇥	指令集
wsah⇥	蘋果樹
qhlt⇥	死狗
zqsz⇥	第三人稱
pckm⇥	手信
xize⇥	難管
pmyk⇥	欲説還休
dmcp⇥	非我
xxdf⇥	多福
dotp⇥	之念
uiaa⇥	國棟
oksf⇥	初遇
fmmv⇥	房基
lkhb⇥	切法
pauj⇥	那本書
siwj⇥	長葛
oawy⇥	殺熟
iiit⇥	哇哈哈
ltmv⇥	狄更斯
nmzh⇥	民族利益
nghh⇥	心理活動
aqzj⇥	聞香
afro⇥	極嚴
qguy⇥	聽風
pqog⇥	抵補
ogxz⇥	希奇
qeoo⇥	碗飯
siho⇥	如注
wbwm⇥	藝文
pqyz⇥	夙敵
dbjr⇥	祛暑
yald⇥	新貌
ouxj⇥	歷盡艱辛
dsbg⇥	山塘
woau⇥	京杭
zlrq⇥	突觸
czwo⇥	邊學
udtx⇥	點錯
pwup⇥	攪成
dlbu⇥	臨城
iken⇥	中寧
zazo⇥	簡表
eeek⇥	醫家
hsjj⇥	汝州
gomv⇥	玉屏
hsuc⇥	塗黑
xsqj⇥	夾起
bygi⇥	鬼王
xivm⇥	鮮甜
mzta⇥	精采
eitx⇥	知錯
uiyi⇥	回部
zjmg⇥	香米
ggih⇥	直叫
kqlh⇥	低些
hxte⇥	滿院
ivlh⇥	只此
himo⇥	紅着臉
wumi⇥	亭臺
hddr⇥	重禮
fwhx⇥	刑滿
xijz⇥	難逢
hfcz⇥	灑向
eskh⇥	安化
smob⇥	女魔
lhkg⇥	特洛伊木馬
nmfi⇥	裝過
tamp⇥	陳壽
wkko⇥	花俏
afei⇥	東麗區
hyhe⇥	澤瀉
hcsw⇥	潘婷
ivnw⇥	只懂
mlbu⇥	迷城
sziz⇥	娩出
gyld⇥	目無
ngwo⇥	心學
mlac⇥	這杯
aiht⇥	加給
nsac⇥	民校
dfds⇥	福祿
mjng⇥	精明能幹
sixj⇥	如入
tyuu⇥	電子圖書
gmnm⇥	十月懷胎
jesl⇥	早知如此
qjsi⇥	起皺
qbup⇥	聯成
hnsr⇥	江姐
zjae⇥	香榧
hmtu⇥	演講會
fttq⇥	一句句
hftp⇥	縉雲
ldfi⇥	無氧
sjeh⇥	田徑運動
qpxd⇥	西外
puhz⇥	打洞
ngpt⇥	心理承受
mwaj⇥	豫東
tdtm⇥	電視電話
qqsi⇥	石人
zxuk⇥	可望而不可及
dede⇥	帶帶
gyfd⇥	目下
qhtb⇥	死雞
fppe⇥	一把把
sigo⇥	長駐
wkht⇥	花溪
wmzi⇥	文竹
hwci⇥	絲毫不差
jfhi⇥	輕油
wdpf⇥	萬里挑一
vnhf⇥	公汽
wcla⇥	與我無關
mkxi⇥	預備黨員
gryv⇥	應急燈
naqf⇥	民間故事
hhqz⇥	經濟覈算
xmmo⇥	鱗屑
faht⇥	一杯酒
dnuq⇥	里路
jomw⇥	晾衣服
yoew⇥	子彈頭
itwx⇥	哈蘇
gzhg⇥	南浦
ztlc⇥	稱身
hjtt⇥	湯陰
jhgd⇥	麵店
ezqt⇥	巴黎聖母院
lhdh⇥	此卽
bmtc⇥	堪爲
nzus⇥	工筆畫
phhx⇥	插滿
afbc⇥	開埠
eixi⇥	豆大
wmai⇥	就這樣吧
tjds⇥	陽明山
vsxs⇥	拳套
zszj⇥	肉香
ewgb⇥	頭馬
wnir⇥	英勇善戰
acqj⇥	禁不起
msjf⇥	胸徑
ktej⇥	佔領軍
dpmi⇥	九臺
gzhi⇥	南油
bvqh⇥	熱死
zosv⇥	稍嫌
huwo⇥	汴京
hgaf⇥	清理門户
hfpy⇥	比武招親
blug⇥	報告團
xosi⇥	外省人
mnpu⇥	試打
harl⇥	消音器
lowk⇥	物質文化
zzog⇥	青春永駐
qtui⇥	母國
fhpj⇥	一撮
ubre⇥	墨色
mkqk⇥	豚鼠
gcaf⇥	睜不開
kgnv⇥	刀工
csen⇥	失密
zscl⇥	魏延
xkkh⇥	世俗化
olwr⇥	近觀
qngm⇥	三有
pcul⇥	手速
cxfa⇥	不大一樣
mxoc⇥	鄰省
vmji⇥	前軸
hdcs⇥	重迭
tmjk⇥	愈是
tjts⇥	陣雪
shvf⇥	剝殼
toan⇥	拿主意
qemj⇥	石頭記
smaw⇥	好言相勸
qpjz⇥	獻映
soez⇥	好厲害
wzwz⇥	菁菁
hfbw⇥	洛麗塔
rfyd⇥	急救站
exhf⇥	賓夕法尼亞
dbde⇥	樂凱
xflw⇥	病猫
knmy⇥	代賣
yahw⇥	新郵
lkok⇥	年代初
pkwa⇥	招兒
azvl⇥	刺進
usdf⇥	盛怒之下
wmch⇥	英語系
zhhf⇥	素面
qypl⇥	聯産承包責任制
mjoi⇥	説得對
ajfo⇥	東鄉
hmbn⇥	游去
djye⇥	桌旁
qofw⇥	超小型
pebz⇥	探井
ztxw⇥	青島大學
nagq⇥	牀底
savq⇥	人格分裂
wfix⇥	藝術美
lmhw⇥	柴米油鹽醬醋茶
yhhf⇥	羅經
wrjd⇥	觀星
dtgg⇥	皇阿瑪
otbu⇥	小坑
oatz⇥	壓力錶
ptpm⇥	抓握
rucz⇥	避而不答
wsnz⇥	苗情
diyd⇥	祥子
fjsy⇥	行好
wfwl⇥	萬事萬物
xpnf⇥	掌印
zwqa⇥	哥薩克
lypv⇥	猛推
smmd⇥	女款
qhgj⇥	聖約翰
seki⇥	數字信號
otho⇥	逍遥派
afaa⇥	開禁
ysrs⇥	炮戰
cmxf⇥	不諳世事
dowo⇥	之學
nwmv⇥	北京話
ulfw⇥	耐髒
gqmp⇥	底料
dbtb⇥	樂陵
xonu⇥	太懶
jwsx⇥	車毁人亡
rica⇥	老六
bxws⇥	黃菊
ktgy⇥	化爲灰燼
fftn⇥	氫氟酸
zmjv⇥	青川
barq⇥	鬆解
ryzp⇥	教科
drgg⇥	祖廟
tnml⇥	令旗
ikna⇥	中允
fdki⇥	下側
hrui⇥	收齊
ikfi⇥	吸過
qyjb⇥	各顯
ciao⇥	不檢
qnvo⇥	三爺
meid⇥	肥羊
mtpf⇥	糖醋排骨
vlhk⇥	八年級
iyud⇥	着火點
znhb⇥	秘法
bbig⇥	翹着
qttt⇥	硝酸銀
fuzp⇥	兩科
phtg⇥	插針
vaeh⇥	遵章守紀
ysgo⇥	顔如玉
lfqe⇥	瓷碗
eqwo⇥	密碼學
gchz⇥	弄不清
jmhm⇥	輕聲細語
hjmq⇥	混居
pipi⇥	扣扣
wuyd⇥	菜園子
jguy⇥	轉圜
ydym⇥	子龍
uxtk⇥	國共合作
pzab⇥	播種機
lkbn⇥	切去
zmwd⇥	青蒜
afco⇥	開交
tpjf⇥	雲量
oeoy⇥	毛頭小子
amat⇥	核糖核酸
ximd⇥	大月
vmmw⇥	煎服
ezkg⇥	寧可信其有
mjso⇥	腦勺
xisd⇥	名姓
ckwc⇥	自作孽
hcja⇥	總辦
ctmi⇥	升降臺
hfmv⇥	面層
dozt⇥	之邦
yhkk⇥	勞動條件
uytl⇥	風鑽
difd⇥	上中下
yrjj⇥	烤得
vjml⇥	雙螺旋
bhmi⇥	地臺
ijuz⇥	喝足
zmfm⇥	靜氣
ieij⇥	啞巴喫黃連
xihx⇥	名滿
tzds⇥	銅山
diyd⇥	貞子
owpi⇥	反扣
nllv⇥	牟平
pcpz⇥	手挽
ejhh⇥	富得流油
baqb⇥	幼虎
dmhh⇥	非比
gnlu⇥	左舷
zede⇥	管帶
gaoo⇥	有機質
hywa⇥	紅孩兒
qhbu⇥	死城
tfgk⇥	雨靴
xiub⇥	燕園
oyoi⇥	小商小販
qhab⇥	起動機
tamq⇥	陳屍
ablv⇥	桂平
pdac⇥	拍門
tnjr⇥	亂改
abuw⇥	機頂
ymjv⇥	龍川
hutw⇥	洗盡鉛華
yahq⇥	新聞紙
nnmj⇥	參謁
adrm⇥	聞之色變
krsi⇥	儼如
sjeg⇥	田忌賽馬
eseb⇥	安塞
jlab⇥	連機
tulk⇥	會刊
ohlg⇥	永年
ttfm⇥	鍊金術士
ohid⇥	小綿羊
gbzy⇥	馬季
ngzs⇥	心内
tnej⇥	亂軍
gefb⇥	唐寧街
fgfd⇥	一朝天子一朝臣
rsnz⇥	戰情
hdth⇥	重錘
whvl⇥	落進
mniz⇥	試出
xrcm⇥	痛哭失聲
uvei⇥	建甌
fmaf⇥	氣極
ytti⇥	邪靈
uolc⇥	離身
hpkq⇥	動手做
qnno⇥	三版
ebuv⇥	密封圈
kkov⇥	修業
ufdq⇥	玄武岩
wgyv⇥	高幹子弟
vors⇥	發單
hcdz⇥	總覽
hasc⇥	没意見
ratj⇥	元陽
hjyh⇥	汨羅
sznm⇥	女同性戀
uaaf⇥	跳開
sabs⇥	思想境界
ocko⇥	壓不住
fdhn⇥	下江
zxzo⇥	可大可小
wsuq⇥	蒼鷺
mhhv⇥	肌纖維
rlvo⇥	二爺
ohve⇥	永登
ksua⇥	仙人跳
wjjx⇥	花蝴蝶
ngva⇥	心理分析
cqnb⇥	系列片
izzp⇥	出科
qefu⇥	死定了
nfhd⇥	性衝動
gjof⇥	乾餾
xvsz⇥	共敘
hown⇥	漲高
xrmy⇥	奢談
ldhg⇥	止水
gqsw⇥	應用數學
sgsl⇥	男才女貌
pcek⇥	指不定
vokf⇥	爺倆
hskk⇥	細條
wusy⇥	藏好
ioig⇥	吵着
bnmo⇥	去尾
pljy⇥	那些日子
hnwj⇥	紅蓮
hafo⇥	湘鄉
nuxs⇥	情感世界
tahd⇥	電力線
wnqs⇥	高要
town⇥	鎖芯
hrds⇥	收山
houg⇥	派團
ljtv⇥	特遣隊
rwix⇥	曲美
pjdw⇥	捏緊
pehd⇥	拒繳
aomc⇥	檢務
pubu⇥	谷城
opmv⇥	摩斯
lfmm⇥	身體語言
hfll⇥	滑步
ptco⇥	援交
wwai⇥	葡萄架
jtxi⇥	未命名
assi⇥	樓長
fofu⇥	一兵一卒
dgri⇥	上有老
czcp⇥	不可自拔
jgus⇥	最惠國待遇
lmtc⇥	肯爲
prkl⇥	換件
xjei⇥	大明宮
msxf⇥	診病
oomy⇥	質粒
wrpd⇥	敲掉
jodh⇥	往生
zawz⇥	穆桂英
mmig⇥	讀着
xehe⇥	魯智深
iasn⇥	啥意思
tsxv⇥	金光大道
pfwa⇥	技術學校
oszj⇥	餘香
cozr⇥	交租
axdi⇥	意外之財
vrnt⇥	分久必合
kixd⇥	保外
