゛,Lv	⺀
山丶艮,DsOeTp	崀
山土欠,DsBmFy	崁
山艹冖力,DsWhErAu	崂
山未丷,DsJxVy	崃
山亼⺍一,DsTuHgFh	崄
山⺈用,DsRlQl	崅
山穴工,DsZiNv	崆
山宀示,DsErDd	崇
宀示山,ErDdDs	崈
山水曰,DsHgRl	崉
山木木,DsAjAj	崊
山一艹,DsFhWhPc	崋
山尸古,DsMzQm	崌
山木人人,DsAjSiSi	崍
山大可,DsXiZj	崎
山氏日,DsQuJe	崏
山日匕,DsJeHsHs	崐
山日匕,DsJeHsHs	崑
山亠人人十,DsUeSiGl	崒
山囗古,DsUdQm	崓
山隹,DsVh	崔
山厂土土,DsOyBmBm	崕
山厂土土,DsOyBmBm	崖
山冂䒑山,DsZvVyDs	崗
山侖,DsSy	崘
山侖,DsSy	崙
山土八夂,DsBmVyJt	崚
山尸屮凵,DsMzIaZv	崛
山千艹士,DsHcWhMf	崜
山龶⺝,DsZhMd	崝
山子,DsWnYd	崞
山金,DsTk	崟
山木日,DsAjJe	崠
山乛氺凵,DsPvHgZv	崡
山爫,DsToUa	崢
山禾女,DsZpSm	崣
山㐅𠂇⺝,DsOsGlMd	崤
山白丿十,DsDyCkGl	崥
山大日乚,DsXiJePv	崦
山木八厶,DsAjVyNd	崧
山一龰,DsFhSiLd	崨
山月月,DsMdMd	崩
山亠人人十,DsUeSiGl	崪
山尸屮凵,DsMzIaZv	崫
山木日,DsAjJe	崬
山斤,DsYfOz	崭
山囗古,DsUdQm	崮
山金,DsTk	崯
山巛田,DsJvSl	崰
山貝刂,DsIcKg	崱
山白王,DsDyGi	崲
山亼⺝刂,DsTuMdKg	崳
山戊一女,DsUcFhSm	崴
山日一勹,DsJeFhBl	崵
山土土寸,DsBmBmLw	崶
山丷酉,DsVyTi	崷
山頁,DsWv	崸
山冖巾,DsYqErUw	崹
山方𠂉也,DsMxLdHe	崺
山彳土寸,DsJbBmLw	崻
山日疋,DsJeKf	崼
山田心,DsSlNg	崽
山覀女,DsQpSm	崾
山吅二ㄅ,DsRuRlPv	崿
山木丶王,DsAjOeGi	嵀
山㇗,DsMzVyPv	嵁
山彳聿,DsJbUa	嵂
山厂彡,DsYqOyBl	嵃
山⺷大,DsIdXi	嵄
山戊一口,DsUcFhIq	嵅
禾尤山,ZpGhDs	嵆
禾尤山,ZpGhDs	嵇
山爫一𠂇又,DsToFhWi	嵈
山丁,DsWnUe	嵉
山禾匕,DsZpNbHs	嵊
山目,DsMzGy	嵋
山甘欠,DsMzFy	嵌
予丿攵山,MaCkRyDs	嵍
山田⽱,DsSlFj	嵎
山㐅凵八夂,DsOsZvJt	嵏
山風,DsUy	嵐
山日勹亾,DsJeSnXc	嵑
口吅山,IqRuDs	嵒
山口吅,DsIqRu	嵓
山田一,DsSlFhOr	嵔
山㐅凵八夂,DsOsZvJt	嵕
山木日一,DsAjJeFh	嵖
山戊一,DsUcFhLd	嵗
山艹冖木,DsWhErAj	嵘
山禾斗,DsZpPf	嵙
山钅欠,DsCjFy	嵚
山亼⺝刂,DsTuMdKg	嵛
山可,DsYqZj	嵜
山米女,DsMgSm	嵝
人禾山山,SiZpDsDs	嵞
山厂隹,DsOyVh	嵟
山爫幺大,DsToBlXi	嵠
山八厶羽,DsVyNdEh	嵡
山人口,DsSiFkIq	嵢
山广肀口,DsGpUaIq	嵣
火火冖山,YvYvErDs	嵤
山夕㐄木,DsXuGjAj	嵥
山山豆,DsDsEi	嵦
山卯田,DsFmSl	嵧
山烏,DsTz	嵨
山高,DsWn	嵩
山高,DsWn	嵪
山䒑幺幺,DsVyBlBl	嵫
山鬼,DsBy	嵬
山冖方,DsYqErMx	嵭
山十目,DsGlGyVy	嵮
山⺶工,DsIdNv	嵯
山䒑,DsVySiYv	嵰
山宀谷,DsErPu	嵱
山自木,DsCjAj	嵲
山⺶工,DsIdNv	嵳
山冫人⺝,DsLvLvMd	嵴
山日土寸,DsJeBmLw	嵵
山弓冫弓冫,DsOdLvLv	嵶
山彳人人龰,DsJbSiLd	嵷
山彳人人龰,DsJbSiLd	嵸
山弓口虫,DsOdIqJw	嵹
山羽人彡,DsEhSiBl	嵺
山广氺,DsGpSiHg	嵻
山厂生,DsYqOyDh	嵼
山冖巾,DsDsErUw	嵽
山厶厶厶人彡,DsNdNdBl	嵾
山丁頁,DsUeWv	嵿
山⻗二ㄅ,DsTfRlPv	嶀
山口丨女,DsSfIqSm	嶁
山音十,DsArGl	嶂
山車斤,DsJlOz	嶃
山車斤,DsJlOz	嶄
敖山,TkDs	嶅
山一曲日,DsFhRwJe	嶆
山匚口吅,DsEhIqRu	嶇
山爿寸,DsNbMdLw	嶈
山口隹,DsIqVh	嶉
山扌隹,DsPcVh	嶊
山鳥,DsTl	嶋
山鳥,DsTl	嶌
山羽白,DsEhDy	嶍
山尸示寸,DsMzDdLw	嶎
山厂酉己,DsOyTiJc	嶏
山阝夂一生,DsTjJtDh	嶐
山象,DsWp	嶑
山丷囗⺌日,DsVyUdJe	嶒
山丿米田,DsCkMgSl	嶓
山金欠,DsTkFy	嶔
山隹灬,DsVhYv	嶕
山亼口羽,DsTuIqEh	嶖
山火火冖力,DsYvYvAu	嶗
山木戈戈,DsAjIeIe	嶘
山米夕㐄,DsMgXuGj	嶙
山大丷日小,DsXiVyOt	嶚
山大丷日小,DsXiVyOt	嶛
山旡旡日,DsUeUeJe	嶜
山癶豆,DsVyEi	嶝
阝𠂇工⺝山,TjGlNvDs	嶞
山丷酉寸,DsVyTiLw	嶟
山丿大口冂口,DsCkXiIq	嶠
山厂䒑欠,DsOyVyFy	嶡
山土土土一儿,DsBmBmAh	嶢
山隹灬,DsVhYv	嶣
山土土土一儿,DsBmBmAh	嶤
山厂䒑欠,DsOyVyFy	嶥
山⺈厂八言,DsRlOyMe	嶦
山罒土,DsYtBmId	嶧
乂乂冖山,WiOsOsDs	嶨
山曲辰,DsRwQn	嶩
山业䒑未,DsOqVyJx	嶪
山业䒑未,DsOqVyJx	嶫
山⺷丿扌,DsIdCkIe	嶬
山丿㠯辛,DsCkUsJt	嶭
山僉,DsOr	嶮
山口耳,DsIqQgIe	嶯
山⺈用刀牛,DsRlQlLz	嶰
山艹日勹亾,DsWhJeXc	嶱
山隹,DsVhZv	嶲
山豕土土,DsKtBmBm	嶳
丿冂米大山,CkZvMgDs	嶴
山罒非,DsYtDm	嶵
山{微框}几,DsYaPs	嶶
山匕矢龴疋,DsHsEuKf	嶷
山火火冖木,DsYvYvAj	嶸
山士乛工一口寸,DsMfPvLw	嶹
山亽龴頁,DsTuNdWv	嶺
山十戈隹,DsGlIeVh	嶻
山一ㄅ丨,DsWiFhVy	嶼
山犭言犬,DsLeMeLe	嶽
山爫工彐心,DsToNvNg	嶾
山⻗而,DsTfUa	嶿
山小隹戈,DsOtVhIe	巀
山厂艹田⽱,DsOyWhFj	巁
山隹冂八口,DsVhZvIq	巂
山立⺝{龍字边},DsYqMdIa	巃
山立⺝{龍字边},DsYqMdIa	巄
山十目页,DsGlGyKw	巅
山火火冖吕,DsYvYvNf	巆
山虍豆戈,DsQbEiIe	巇
山革勹米,DsGoSnMg	巈
山匕匕兔,DsZhHsZh	巉
山貝貝女,DsIcIcSm	巊
山丿㠯止彐冖巾,DsCkUsUw	巋
山ツ厂ヿ耳攵,DsHgOyRy	巌
山禾女鬼,DsZpSmBy	巍
山一自止巳八夂,DsFhCjJt	巎
山艹吅隹,DsWhRuVh	巏
山高日丿廾,DsWnJeWh	巐
山⺧儿⺧儿貝,DsLzAhIc	巑
言糹糹山,MeHtHtDs	巒
山匕目㇗八頁,DsHsGyWv	巓
山十目頁,DsGlGyWv	巔
山䒑丿㠯辛女,DsVyCkSm	巕
山吅厂ヿ耳攵,DsRuOyRy	巖
山吅厂ヿ耳攵,DsRuOyRy	巗
山虍鬲犬,DsQbPwLe	巘
山䒑自止巳八夂,DsVyCjJt	巙
山虍鬲犬,DsQbPwLe	巚
巛,Jv	巛
巜,Jv	巜
川,Jv	川
川,JvJv	州
亡,XcJv	巟
一巛工,FhJvNv	巠
巛辶,JvLt	巡
巛田木,JvSlAj	巢
ツ田木,HgSlAj	巣
巛,JvQk	巤
工,Nv	工
𠂇工,GlNv	左
工一ㄅ,NvFhPv	巧
匚コ,EhEh	巨
工几丶,NvPsOe	巩
匚コヿ,EhEhPv	巪
工人人,NvSiSi	巫
工几夫,NvPsSv	巬
工力夫,NvAuSv	巭
⺶工,IdNv	差
ス工,WiNvPdJv	巯
一巛工,FhJvNvJv	巰
己,Jc	己
已,Nt	已
巳,Du	巳
巴,Ew	巴
⺁一巴,OyFhEw	巵
刀口巳,KgIqDu	巶
龷八巳,XkVyDu	巷
巳,DzDu	巸
乛水一己,PvHgFhJc	巹
巳巳,DuDuVy	巺
丷夫己,VySvJc	巻
巴口匕,EwIqHs	巼
巳巳龷八,DuDuXkVy	巽
巾,Uw	巾
一巾,FhUw	巿
一巾,FhUw	帀
丿巾,CkUw	币
亠巾,UeUw	市
𠂇巾,GlUw	布
巾丁,UwUe	帄
リ巾,KgUw	帅
巾几丶,UwPsOe	帆
巾,SiUw	帇
リ一巾,KgFhUw	师
巾八刀,UwVyKg	帉
巾巴,UwEw	帊
氏巾,QuUw	帋
㐅𠂇巾,OsGlUw	希
户巾,FkUw	帍
巾冖儿,UwErAh	帎
巾韦,UwQh	帏
巾长,UwXk	帐
女又巾,SmWiUw	帑
亻弋巾,KjNdUw	帒
巾一木,UwFhAj	帓
巾皮,UwEm	帔
巾白,UwDy	帕
巾⺊口,UwDhIq	帖
巾𠂇又丶,UwGlWiOe	帗
穴巾,ZiUw	帘
巾丿夫,UwCkSv	帙
彐冖巾,SiErUw	帚
白巾,DyUw	帛
巾口八,UwIqVy	帜
冖巾,YqErUw	帝
巾一白,UwFhDy	帞
亠巾,UeYvUw	帟
臼巾,WiUw	帠
巾䒑廾,UwVyWh	帡
巾亼口,UwTuIq	帢
丷夫巾,VySvUw	帣
女口巾,SmIqUw	帤
丿㠯巾,CkUsUw	帥
卅冖巾,FhErUw	带
巾⺊贝,UwDhDj	帧
巾丷口儿,UwVyIqAh	帨
巾⺌⺝,UwOtMd	帩
巾辰,UwQn	帪
丿㠯一巾,CkUsFhUw	師
丿口巾,SiCkIqUw	帬
广廿巾,GpXkUw	席
阝巾,ZhTjUw	帮
卅冖巾,FhErUw	帯
彐冖巾,KgSiErUw	帰
巾寸,UwZhLw	帱
巾丿丿干,UwCkLrLr	帲
巾長,UwSi	帳
巾戈戈,UwIeIe	帴
巾宀夕⺋,UwErXuWj	帵
冖巾,DsErUw	帶
巾隹,UwVh	帷
巾,XyUw	常
巾立女,UwYqSm	帹
巾,UwMzVy	帺
巾龶贝,UwZhDj	帻
巾囗王丶,UwUdGiOe	帼
巾⺜目,UwJeGy	帽
巾耂日,UwRiJe	帾
巾亻矢,UwKjEhEu	帿
巾⺊貝,UwDhIc	幀
巾頁,UwWv	幁
冖日大巾,ErJeXiUw	幂
巾韋,UwIw	幃
巾尸至,UwMzCy	幄
巾一口田,UwFhIqSl	幅
巾日勹亾,UwJeSnXc	幆
土土寸巾,BmBmLwUw	幇
巾尸䒑廾,UwMzVyWh	幈
巾廿㇗木,UwXkPvAj	幉
巾工貝,UwNvIc	幊
舟殳巾,LkQiUw	幋
巾日光,UwJeSj	幌
巾爫臼,UwToWi	幍
巾冖日六,UwErJeCa	幎
巾宀豕,UwErKt	幏
月丷夫巾,MdVySvUw	幐
{微框}巾,YaUw	幑
巾丿心,UwCkLwNg	幒
巾厶厶厶人彡,UwNdNdBl	幓
巾日罒又,UwJeYtWi	幔
艹日大巾,WhJeXiUw	幕
巾覀示,UwQpDd	幖
巾囗戈口一,UwUdIeFh	幗
巾龶貝,UwZhIc	幘
巾艹日大,UwWhJeXi	幙
阝白巾,ZhTjDyUw	幚
巾音十,UwArGl	幛
巾日小,UwJeWnOt	幜
巾吅田十,UwRuSlGl	幝
巾业⺶㇏,UwOqIdOe	幞
巾音,UwArIe	幟
巾𠂉卌一灬,UwLdDsYv	幠
巾丿米田,UwCkMgSl	幡
巾立里,UwYqDn	幢
㡀攵巾,KtRyUw	幣
尚攵巾,XyRyUw	幤
巾手,UwXyPc	幥
辟巾,RkUw	幦
巾口吅木,UwIqRuAj	幧
巾⺈厂八言,UwRlOyMe	幨
巾十艹貝,UwGlWhIc	幩
巾艹冖一豕,UwWhErKt	幪
土土寸白巾,BmBmLwUw	幫
巾士乛工一口寸,UwMfPvLw	幬
巾艹罒戊丶,UwWhYtOe	幭
巾广壴寸,UwGpHsLw	幮
巾⺮卩,UwZiTpWj	幯
巾宀丰罒心,UwErZhNg	幰
巾門束丷,UwAcUhVy	幱
干,Lr	干
干丷,LrVy	平
𠂉,LdGj	年
干,LrLr	幵
䒑廾,VyWh	并
丿丿干,CkLrCkLr	幷
土,BmId	幸
十日十人干,GlJeGlLr	幹
幺,Bl	幺
幺𠃌,BlPv	幻
幺力,BlAu	幼
山幺幺,DsBlBl	幽
幺幺戈人,BlBlIeSi	幾
广,Gp	广
广匕,GpHs	庀
广丁,GpUe	庁
广人,GpSi	庂
广厶,GpNd	広
广土,GpBm	庄
广丿厶,GpCkNd	庅
广大,GpXi	庆
广匕,GpHsHs	庇
广亽ヿ,GpTuPv	庈
广一,GpFhIa	庉
广木,GpAj	床
广支,GpBh	庋
广牙,GpYb	庌
广斤,GpOz	庍
广人,GpSiKg	庎
广予,GpMa	序
广户,GpFk	庐
广无,GpUe	庑
广土丶,GpBmOe	庒
广车,GpYf	库
广⺍一,GpHgFh	应
广氏丶,GpQuOe	底
广勹巳,GpSnDu	庖
广⺊口,GpDhIq	店
广甲,GpSt	庘
广由,GpIs	庙
广人,GpSiSi	庚
广止匕,GpLdHs	庛
广亻寸,GpKjLw	府
广夂゛,GpJtLv	庝
广龙,GpJh	庞
广又丶,GpIaWiOe	废
广羊,GpId	庠
广衣,GpOr	庡
广至,GpCy	庢
广儿冫,GpAhLvLv	庣
广土寸,GpBmLw	庤
广亻木,GpKjAj	庥
广廿又,GpXkWi	度
广人人土,GpSiSiBm	座
广耂子,GpRiYd	庨
广人禾,GpSiZp	庩
广扌支,GpPcBh	庪
广車,GpJl	庫
广龙,GpJhBl	庬
广丿士廴,GpCkMfVv	庭
广酉,GpTi	庮
广甫,GpGn	庯
广䒑廾,GpVyWh	庰
广土八夂,GpBmVyJt	庱
广木人人,GpAjSiSi	庲
广白丿十,GpDyCkGl	庳
广龷日,GpXkJe	庴
广大日乚,GpXiJePv	庵
广廿灬,GpXkYv	庶
广氺,GpSiHg	康
广肀用,GpUaQl	庸
广廿尸丶,GpXkMzOe	庹
广八厶木,GpVyNdAj	庺
广廿人人,GpXkSiSi	庻
广页,GpHsKw	庼
广田⽱,GpSlFj	庽
广臼人,GpWiSi	庾
广艹田,GpWhSl	庿
广宀火又,GpErYvWi	廀
广貝刂,GpIcKg	廁
广木目,GpAjGy	廂
广癶二儿,GpVyRlAh	廃
广殳,GpTpQi	廄
广土厶皿,GpBmNdBk	廅
广鬼,GpBy	廆
广卯田,GpFmSl	廇
广一自夂,GpFhCjJt	廈
广䒑,GpVySiYv	廉
广丶阝,GpOeTpTj	廊
广臼丨又,GpWiKsWi	廋
一ㄅ灬,CuFhPvYv	廌
广立口阝,GpYqIqTj	廍
广頁,GpHsWv	廎
广白匕殳,GpDyHsQi	廏
广旡,GpTpUe	廐
广廿口龶,GpXkIqZh	廑
广敖,GpTk	廒
广子阝,GpWnYdTj	廓
广口丨女,GpSfIqSm	廔
广阝亽ヿ云,GpTjTuPd	廕
广羽人彡,GpEhSiBl	廖
广冖巾,GpDsErUw	廗
广鹿,GpCu	廘
广田龷八,GpSlXkVy	廙
广壴寸,GpHsLw	廚
广里八土,GpDnVyBm	廛
广尸耂日,GpMzRiJe	廜
广斤,GpMzVyOz	廝
广金欠,GpTkFy	廞
广十日十月,GpGlJeMd	廟
广尚攵,GpXyRy	廠
广𠂉卌一灬,GpLdDsYv	廡
广癶弓殳,GpVyOdQi	廢
广黄,GpBx	廣
广車口匕,GpJlIqHs	廤
广亼囗⺌日,GpTuUdJe	廥
广辟,GpRk	廦
广土人人囗口,GpBmSiIq	廧
广⺈用刀牛,GpRlQlLz	廨
广亠囗口禾,GpUeUdZp	廩
广亠囗口示,GpUeUdDd	廪
广月羽人彡,GpMdEhBl	廫
广虍田皿,GpQbSlBk	廬
广禾龶貝,GpZpZhIc	廭
广貝貝女,GpIcIcSm	廮
广魚羊,GpXlId	廯
广耳十罒心,GpQgGlNg	廰
广巛口巴隹,GpJvIqVh	廱
广一一鹿,GpFhMdCu	廲
广耳王十罒一心,GpQgGiNg	廳
廴,Vv	廴
巛廴,JvVv	廵
丿止廴,CkLdVv	延
丿士廴,CkMfVv	廷
由廴,IsVv	廸
白廴,DyVv	廹
聿廴,UaVv	建
囗口廴,UdIqVv	廻
西廴,QpVv	廼
囗廴,UdIqVv	廽
廾,Wh	廾
廿,Xk	廿
一廾,FhWh	开
厶廾,NdWh	弁
巳廾,DuWh	异
廾,PdWh	弃
王廾,GiWh	弄
八刀廾,VyKgWh	弅
土厶廾,BmNdWh	弆
亼口廾,TuIqWh	弇
亠廾,UeYvWh	弈
爿士廾,NbMfWh	弉
㡀攵廾,KtRyWh	弊
弋,Nd	弋
弋一,NdFh	弌
弋二,NdRl	弍
弋三,NdQn	弎
弋工,NdNv	式
一弋二,FhNdRl	弐
㐅木弋工,OsAjNdNv	弑
㐅木丶弋工,OsAjOeNv	弒
弓,Od	弓
弓丨,OdKs	弔
弓丨,OdKs	引
弓一,OdFh	弖
弗,Uv	弗
弓厶,OdNd	弘
弓一𬺰,OdFhGl	弙
丷弓丨,VyOdKs	弚
弓也,OdHe	弛
弓弓,OdOd	弜
弓巴,OdEw	弝
弓欠,OdFy	弞
丷𢎨,VyUv	弟
弓长,OdXk	张
弓匚コ,OdEhEh	弡
弓屮又,OdIaWi	弢
弓亻寸,OdKjLw	弣
弓氏丶,OdQuOe	弤
弓⺈小,OdRlOt	弥
弓亠幺,OdUeBl	弦
弓瓜,OdQj	弧
弓刀口,OdKgIq	弨
女又弓,SmWiOd	弩
弓ス工,OdWiNv	弪
弓臣,OdDz	弫
弓,OdDz	弬
弓耳,OdQg	弭
丷夫弓,VySvOd	弮
亠弓,UeYvOd	弯
弓⺌⺝,OdOtMd	弰
弓冫弓冫,OdLvOdLv	弱
弓口⺝,OdIqMd	弲
弓一巛工,OdFhJvNv	弳
弓子,OdWnYd	弴
弓長,OdSi	張
弓小,OdWnOt	弶
弓厶虫,OdNdJw	強
弓月月,OdMdMd	弸
弓丷田十,OdVySlGl	弹
弓口虫,OdIqJw	强
弓一囗人弓,OdFhUdOd	弻
弓一白弓,OdFhDyOd	弼
弓廿㇗木,OdXkPvAj	弽
弓ツ田十,OdHgSlGl	弾
宀井弓,ErBzVyOd	弿
{彀字框无一}一弓,VsFhOd	彀
弓可可,OdZjZj	彁
业弓矢,OqOdEu	彂
弓田艹,OdSlWhPc	彃
弓匚口吅,OdEhIqRu	彄
弓䒑⺝刂刀,OdVyMdKg	彅
㡀攵弓,KtRyOd	彆
弓肀片爿一,OdUaNbFh	彇
弓吅田十,OdRuSlGl	彈
弓黄,OdBx	彉
弓一田一田一,OdFhSlFh	彊
弓罒一口𧘇,OdYtFhOr	彋
弓一,OdFhKt	彌
弓广黄,OdGpBx	彍
言糹糹弓,MeHtHtOd	彎
弓目目隹又,OdGyGyWi	彏
彐,Si	彐
彑,Si	彑
リ彐,KgSi	归
⺌彐,OtSi	当
彑氺,SiHg	彔
氺,SiHg	录
彑,SiKt	彖
丰丰彐,ZhZhSi	彗
彑矢匕,SiHsEuHs	彘
彑冖田木,SiErSlAj	彙
冖田木,SiErSlAj	彚
米八刀廾,SiMgVyWh	彛
彑米八刀廾,SiMgVyWh	彜
彑米糸廾,SiMgHtWh	彝
米糸廾,SiMgHtWh	彞
彐寸艹隹又,SiLwWhWi	彟
彐工口寸艹隹又,SiNvIqWi	彠
彡,Bl	彡
一廾彡,FhWhBl	形
文彡,WmBl	彣
⺆亠彡,ZvUeBl	彤
文厂彡,WmOyBl	彥
厂彡,YqOyBl	彦
戈口一彡,IeIqFhBl	彧
一彡,FhMdMdBl	彨
爫木彡,ToAjBl	彩
虎彡,QbBl	彪
⺆土口彡,ZvBmIqBl	彫
木木彡,AjAjBl	彬
壴彡,HsBl	彭
宀谷彡,ErPuBl	彮
覀示彡,QpDdBl	彯
音十彡,ArGlBl	彰
日小彡,JeWnOtBl	影
一一鹿彡,FhMdFhBl	彲
彳,Jb	彳
彳勹丶,JbSnOe	彴
彳也,JbHe	彵
彳及,JbKd	彶
彳方,JbMx	彷
彳八厶,JbVyNd	彸
彳殳,JbQi	役
彳王,JbGi	彺
彳七刀,JbLnKg	彻
彳皮,JbEm	彼
彳氏丶,JbQuOe	彽
彳亽龴,JbTuNd	彾
彳弗,JbUv	彿
彳丶王,JbOeGi	往
彳一止,JbFhLd	征
彳且,JbRh	徂
彳生,JbDh	徃
彳ス工,JbWiNv	径
彳土寸,JbBmLw	待
彳西,JbQp	徆
彳勹日,JbSnJe	徇
彳艮,JbTp	很
彳羊,JbId	徉
彳囗口,JbUdIq	徊
彳聿,JbUa	律
彳幺夂,JbBlJt	後
彳土土,JbBmBm	徍
彳口王,JbIqGi	徎
彳止,JbLdLd	徏
彳人禾,JbSiZp	徐
彳一巛工,JbFhJvNv	徑
彳走,JbQo	徒
彳丷疋,JbVyKf	従
彳艹之,JbWhDo	徔
彳未丷,JbJxVy	徕
彳宀示,JbErDd	徖
彳日一寸,JbJeFhLw	得
彳非,JbDm	徘
彳止龰,JbLdLd	徙
彳束丷,JbUhVy	徚
彳大可,JbXiZj	徛
彳尚,JbXy	徜
彳十目一,JbGlGyFh	徝
彳人人龰,JbSiSiLd	從
彳⺆土口,JbZvBmIq	徟
彳木人人,JbAjSiSi	徠
彳𦈢卩,JbUsWj	御
彳一龰,JbFhSiLd	徢
彳龷日,JbXkJe	徣
彳聿廴,JbUaVv	徤
彳日疋,JbJeKf	徥
彳二コ又,JbMzRlWi	徦
彳户𠕁,JbFkJz	徧
彳白王,JbDyGi	徨
彳𠂉日夂,JbLdJeJt	復
彳⺁十目,JbOyGlGy	循
彳韋,JbIw	徫
彳冖方,JbYqErMx	徬
彳爫缶,JbToUs	徭
{微框}几,YaPs	微
彳爫幺大,JbToBlXi	徯
彳一止一止,JbFhLdLd	徰
彳覀示,JbQpDd	徱
彳尸氺牛,JbMzHgLz	徲
彳十罒心,JbGlYtNg	徳
{微框}王,YaGi	徴
{微框}王,YaGi	徵
彳㡀攵,JbKtRy	徶
彳十罒一心,JbGlYtNg	德
彳立里,JbYqDn	徸
彳⺝攵,JbPdMdRy	徹
彳土土土一儿,JbBmBmAh	徺
彳亼囗⺌日,JbTuUdJe	徻
彳白方攵,JbDyMxRy	徼
{微框}糸,YaHt	徽
{微框}言,YaMe	徾
彳立⺝{龍字边},JbYqMdIa	徿
彳衣吅井一,JbOrRuFh	忀
彳日屮凵大氺,JbJeIaHg	忁
彳目目隹,JbGyGyVh	忂
心,Ng	心
忄,Ng	忄
心丿,NgCk	必
忄乙,NgJg	忆
忄力,NgAu	忇
二心,RlNg	忈
忄刀,NgKg	忉
忄丁,NgUe	忊
忄己,NgJc	忋
己心,JcNg	忌
刀丶心,KgOeNg	忍
千心,HcNg	忎
忄千,NgHc	忏
⺊一心,DhFhNg	忐
一卜心,FhDhNg	忑
弋心,NdNg	忒
忄干,NgLr	忓
忄𠂉乙,NgLdJg	忔
忄大,NgXi	忕
忄寸,NgLw	忖
士心,MfNg	志
亡心,XcNg	忘
忄亡,NgXc	忙
忄也,NgHe	忚
忄几丶,NgPsOe	忛
广心,GpNg	応
一大⺗,FhXiNg	忝
文心,WmNg	忞
忄文,NgWm	忟
口丨心,IqKsNg	忠
忄口丨,NgIqKs	忡
五心,JiNg	忢
忄及,NgKd	忣
忄𠂉十,NgLdGl	忤
气心,FqNg	忥
忄人,NgSiKg	忦
忄尤,NgGh	忧
忄二儿,NgRlAh	忨
八厶心,VyNdNg	忩
忄八厶,NgVyNd	忪
忄人,NgEhSi	快
忄予,NgMa	忬
忄亠卜,NgUeDh	忭
忄支,NgBh	忮
忄氏,NgQu	忯
忄九十,NgDpGl	忰
忄冖儿,NgErAh	忱
忄大丶,NgXiOe	忲
忄一,NgFhIa	忳
忄亽ヿ,NgTuPv	忴
亽ヿ心,TuPvNg	念
忄云,NgPd	忶
忄㐅凵,NgOsZv	忷
忄ヿ土,NgPvBm	忸
忄王,NgGi	忹
忄欠,NgFy	忺
忄斤,NgOz	忻
忄亠几,NgUePs	忼
勹心,SnBlNg	忽
忄气,NgFq	忾
八刀心,VyKgNg	忿
忄不,NgCi	怀
大丶心,XiOeNg	态
人人心,SiSiNg	怂
忄无,NgUe	怃
忄匚㐅,NgEhOs	怄
忄长,NgXk	怅
忄人⺋,NgSiWj	怆
忄匚コ,NgEhEh	怇
忄廿㇗,NgXkPv	怈
忄勹巳,NgSnDu	怉
忄刀口,NgKgIq	怊
忄民,NgNs	怋
忄不一,NgCiFh	怌
忄乍,NgEl	怍
乍心,ElNg	怎
忄冂大,NgZvXi	怏
忄句,NgTq	怐
忄丷,NgVyPc	怑
女又心,SmWiNg	怒
忄女又,NgSmWi	怓
忄一止,NgFhLd	怔
忄白,NgDy	怕
忄𠂇巾,NgGlUw	怖
忄⺊口,NgDhIq	怗
古心,QmNg	怘
忄古,NgQm	怙
忄且,NgRh	怚
忄日一,NgJeFh	怛
忄亽龴,NgTuNd	怜
田心,SlNg	思
忄由,NgIs	怞
忄氏丶,NgQuOe	怟
厶口心,NdIqNg	怠
忄厶口,NgNdIq	怡
忄丿夫,NgCkSv	怢
丿夫心,CkSvNg	怣
亻寸心,KjLwNg	怤
⺈彐心,RlSiNg	急
忄干丷,NgLrVy	怦
忄生,NgDh	性
夕⺋心,XuWjNg	怨
忄尸匕,NgMzHs	怩
忄又土,NgWiBm	怪
忄弗,NgUv	怫
忄四,NgYt	怬
忄心丿,NgNgCk	怭
忄幺力,NgBlAu	怮
忄土厶,NgBmNd	怯
忄亠幺,NgUeBl	怰
勹丶心,SnBlOeNg	怱
忄一冂人,NgFhZvSi	怲
忄口儿,NgIqAh	怳
忄戉,NgUc	怴
忄木丶,NgAjOe	怵
忄皮,NgEm	怶
木丶心,AjOeNg	怷
木丶心,AjOeNg	怸
亻也心,KjHeNg	怹
忄丶水,NgOeHg	怺
丷口心,VyIqNg	总
又寸心,WiLwNg	怼
忄未,NgJx	怽
忄口八,NgIqVy	怾
忄又,NgWiPc	怿
忄夕夕,NgXuXu	恀
亻丿士心,KjCkMfNg	恁
忄勹日,NgSnJe	恂
忄土寸,NgBmLw	恃
忄士口,NgMfIq	恄
忄老,NgRi	恅
忄一月一,NgFhMdFh	恆
忄匚王,NgEhGi	恇
忄厶牛,NgNdLz	恈
忄匕日,NgHsJe	恉
忄力力力,NgAuAuAu	恊
亠心,UeYvNg	恋
忄儿冫,NgAhLvLv	恌
忄光,NgSj	恍
忄至,NgCy	恎
女子心,SmYdNg	恏
工几丶心,NvPsOeNg	恐
忄⺈厂⺋,NgRlOyWj	恑
忄{凬字心}一,NgTeFh	恒
忄西,NgQp	恓
忄六乂,NgCaOs	恔
女口心,SmIqNg	恕
丿龱心,CkLwNg	恖
忄大二ㄅ,NgXiRlPv	恗
忄亻木,NgKjAj	恘
⺷心,IdNg	恙
土土心,BmBmNg	恚
忄囗口,NgUdIq	恛
忄弋工,NgNdNv	恜
丰刀心,ZhKgNg	恝
忄大弓,NgXiOd	恞
忄勹㐅凵,NgSnOsZv	恟
忄𠂇丨土,NgGlKsBm	恠
