⺀	(丶丶,OeOe,bīng_èr,部首補充)
狃	(犭ヿ土,LePvBm,niǔ_nǜ,CJK)
狄	(犭火,LeYv,dí_tì,CJK)
狅	(犭丿士,LeCkMf,kuáng,CJK)
狆	(犭口丨,LeIqKs,zhòng,CJK)
狇	(犭木,LeAj,mù,CJK)
狈	(犭贝,LeDj,bèi,CJK)
狉	(犭不一,LeCiFh,pī,CJK)
狊	(目犬,GyLe,jú,CJK)
狋	(犭示,LeDd,yí_quán_chí,CJK)
狌	(犭生,LeDh,shēng_xīng,CJK)
狍	(犭勹巳,LeSnDu,páo,CJK)
狎	(犭甲,LeSt,xiá,CJK)
狏	(犭𠂉也,LeLdHe,tuó_yí,CJK)
狐	(犭瓜,LeQj,hú,CJK)
狑	(犭亽龴,LeTuNd,líng,CJK)
狒	(犭弗,LeUv,fèi,CJK)
狓	(犭皮,LeEm,pí_pī,CJK)
狔	(犭尸匕,LeMzHs,nǐ,CJK)
狕	(犭幺力,LeBlAu,yǎo,CJK)
狖	(犭穴,LeZi,yòu,CJK)
狗	(犭句,LeTq,gǒu,CJK)
狘	(犭戉,LeUc,xuè,CJK)
狙	(犭且,LeRh,jū,CJK)
狚	(犭日一,LeJeFh,dàn,CJK)
狛	(犭白,LeDy,bó,CJK)
狜	(犭古,LeQm,kǔ,CJK)
狝	(犭⺈小,LeRlOt,xiǎn,CJK)
狞	(犭宀丁,LeErUe,níng,CJK)
狟	(犭{凬字心}一,LeTeFh,huán_xuān_héng,CJK)
狠	(犭艮,LeTp,hěn_yán_kěn_hǎng,CJK)
狡	(犭六乂,LeCaOs,jiǎo_xiào,CJK)
狢	(犭各,LeQy,hé_mò,CJK)
狣	(犭儿冫,LeAhLvLv,zhào,CJK)
狤	(犭士口,LeMfIq,jí_jié_kuài,CJK)
狥	(犭勹日,LeSnJe,xùn,CJK)
狦	(犭,LeJz,shān,CJK)
狧	(犭舌,LeVl,tà_shì,CJK)
狨	(犭戈𠂇,LeIeGl,róng,CJK)
狩	(犭宀寸,LeErLw,shòu,CJK)
狪	(犭冂一口,LeZvFhIq,tóng_dòng,CJK)
狫	(犭老,LeRi,lǎo,CJK)
独	(犭虫,LeJw,dú,CJK)
狭	(犭夫丷,LeSvVy,xiá,CJK)
狮	(犭リ一巾,LeKgFhUw,shī,CJK)
狯	(犭人云,LeSiPd,kuài,CJK)
狰	(犭⺈,LeRlUa,zhēng,CJK)
狱	(犭讠犬,LeVxLe,yù,CJK)
狲	(犭子小,LeYdOt,sūn,CJK)
狳	(犭人禾,LeSiZp,yú,CJK)
狴	(犭匕土,LeHsHsBm,bì,CJK)
狵	(犭龙,LeJhBl,máng_zhuó,CJK)
狶	(犭㐅𠂇巾,LeOsGlUw,xī_shǐ,CJK)
狷	(犭口⺝,LeIqMd,juàn,CJK)
狸	(犭里,LeDn,lí,CJK)
狹	(犭大人人,LeXiSiSi,xiá,CJK)
狺	(犭言,LeMe,yín,CJK)
狻	(犭厶八夂,LeNdVyJt,suān_xùn_jùn,CJK)
狼	(犭丶艮,LeOeTp,láng_lǎng_làng_hǎng,CJK)
狽	(犭貝,LeIc,bèi,CJK)
狾	(犭扌斤,LePcOz,zhì,CJK)
狿	(犭丿止廴,LeCkLdVv,yán,CJK)
猀	(犭氵小丿,LeHgOtCk,shā,CJK)
猁	(犭禾刂,LeZpKg,lì,CJK)
猂	(犭日干,LeJeLr,hàn,CJK)
猃	(犭亼⺍一,LeTuHgFh,xiǎn,CJK)
猄	(犭小,LeWnOt,jīng,CJK)
猅	(犭非,LeDm,pái,CJK)
猆	(非犬,DmLe,fēi,CJK)
猇	(犭虎,LeQb,xiāo,CJK)
猈	(犭白丿十,LeDyCkGl,bài_pí,CJK)
猉	(犭,LeMzVy,qí,CJK)
猊	(犭臼儿,LeWiAh,ní,CJK)
猋	(犬犬犬,LeLeLe,biāo,CJK)
猌	(木人人犬,AjSiSiLe,yìn,CJK)
猍	(犭木人人,LeAjSiSi,lái,CJK)
猎	(犭龷日,LeXkJe,liè_xī_què,CJK)
猏	(犭户⺝,LeFkMd,jiān,CJK)
猐	(犭⺶乚,LeIdPv,qiāng,CJK)
猑	(犭日匕,LeJeHsHs,kūn,CJK)
猒	(日月犬,JeMdLe,yàn,CJK)
猓	(犭田木,LeSlAj,guǒ_luǒ,CJK)
猔	(犭宀示,LeErDd,zòng,CJK)
猕	(犭弓⺈小,LeOdRlOt,mí,CJK)
猖	(犭日曰,LeJeRl,chāng,CJK)
猗	(犭大可,LeXiZj,yī_yǐ_jì_ē_wēi,CJK)
猘	(犭牛巾刂,LeLzUwKg,zhì,CJK)
猙	(犭爫,LeToUa,zhēng,CJK)
猚	(犭隹,LeVh,yá_wèi,CJK)
猛	(犭子皿,LeYdBk,měng,CJK)
猜	(犭龶⺝,LeZhMd,cāi,CJK)
猝	(犭亠人人十,LeUeSiGl,cù,CJK)
猞	(犭人,LeSiVl,shē,CJK)
猟	(犭鼡,LeQk,liè,CJK)
猠	(犭𠕁,LeJzVy,diǎn,CJK)
猡	(犭罒夕,LeYtXu,luó,CJK)
猢	(犭古月,LeQmMd,hú,CJK)
猣	(犭㐅凵八夂,LeOsZvJt,zōng,CJK)
猤	(犭癶一大,LeVyFhXi,guì,CJK)
猥	(犭田一,LeSlFhOr,wěi_wèi,CJK)
猦	(犭風,LeUy,fēng,CJK)
猧	(犭冎口,LeFvIq,wō,CJK)
猨	(犭爫一𠂇又,LeToFhWi,yuán,CJK)
猩	(犭日生,LeJeDh,xīng,CJK)
猪	(犭耂日,LeRiJe,zhū,CJK)
猫	(犭艹田,LeWhSl,māo_miáo_máo,CJK)
猬	(犭田⺝,LeSlMd,wèi,CJK)
猭	(犭彑,LeSiKt,chuān_chuàn_shān,CJK)
献	(十冂犬,GlZvIdLe,xiàn,CJK)
猯	(犭山而,LeDsUa,tuān,CJK)
猰	(犭丰刀大,LeZhKgXi,yà_jiá_qiè,CJK)
猱	(犭予丿木,LeMaCkAj,náo,CJK)
猲	(犭日勹亾,LeJeSnXc,xiē_hè_gé_hài,CJK)
猳	(犭二コ又,LeMzRlWi,jiā,CJK)
猴	(犭亻矢,LeKjEhEu,hóu,CJK)
猵	(犭户𠕁,LeFkJz,biān_piàn,CJK)
猶	(犭丷酉,LeVyTi,yóu_yáo,CJK)
猷	(丷酉犬,VyTiLe,yóu,CJK)
猸	(犭目,LeMzGy,méi,CJK)
猹	(犭木日一,LeAjJeFh,chá,CJK)
猺	(犭爫缶,LeToUs,yáo,CJK)
猻	(犭子丿糸,LeYdCkHt,sūn,CJK)
猼	(犭甫寸,LeGnLw,bó_pò,CJK)
猽	(犭冖日六,LeErJeCa,míng,CJK)
猾	(犭骨,LeFv,huá,CJK)
猿	(犭土口𧘇,LeBmIqOr,yuán,CJK)
獀	(犭臼丨又,LeWiKsWi,sōu,CJK)
獁	(犭馬,LeGb,mà_mǎ,CJK)
獂	(犭厂白小,LeOyDyOt,yuán,CJK)
獃	(山豆犬,DsEiLe,dāi_ái,CJK)
獄	(犭言犬,LeMeLe,yù,CJK)
獅	(犭丿㠯一巾,LeCkUsUw,shī,CJK)
獆	(犭白大十,LeDyXiGl,háo,CJK)
獇	(犭⺶乚厶,LeIdPvNd,qiāng,CJK)
獈	(犭皿,LeHgBk,yì,CJK)
獉	(犭㇏禾,LeZhOeZp,zhēn,CJK)
獊	(犭人口,LeSiFkIq,cāng,CJK)
獋	(犭自冫十,LeCjLvGl,háo_gāo,CJK)
獌	(犭日罒又,LeJeYtWi,màn,CJK)
獍	(犭音儿,LeArAh,jìng,CJK)
獎	(爿寸犬,NbMdLwLe,jiǎng,CJK)
獏	(犭艹日大,LeWhJeXi,mò_mú,CJK)
獐	(犭音十,LeArGl,zhāng,CJK)
獑	(犭車斤,LeJlOz,chán,CJK)
獒	(敖犬,TkLe,áo,CJK)
獓	(犭敖,LeTk,áo,CJK)
獔	(犭白冫十,LeDyLvGl,háo,CJK)
獕	(犭山隹,LeDsVh,cuī,CJK)
獖	(犭十艹貝,LeGlWhIc,bèn_fèn_fén,CJK)
獗	(犭厂䒑欠,LeOyVyFy,jué,CJK)
獘	(㡀攵犬,KtRyLe,bì,CJK)
獙	(犭㡀攵,LeKtRy,bì,CJK)
獚	(犭黄,LeBx,huáng,CJK)
獛	(犭业⺶㇏,LeOqIdOe,pú,CJK)
獜	(犭米夕㐄,LeMgXuGj,lín_lìn,CJK)
獝	(犭予丿冂八口,LeMaCkIq,xù_yù,CJK)
獞	(犭立里,LeYqDn,tóng_zhuàng,CJK)
獟	(犭土土土一儿,LeBmBmAh,yào_xiāo,CJK)
獠	(犭大丷日小,LeXiVyOt,liáo_lǎo,CJK)
獡	(犭臼勹灬,LeWiSnYv,shuò,CJK)
獢	(犭丿大口冂口,LeCkXiIq,xiāo,CJK)
獣	(ツ田一口犬,HgSlFhLe,shòu,CJK)
獤	(犭子攵,LeWnYdRy,dūn,CJK)
獥	(犭白方攵,LeDyMxRy,jiào,CJK)
獦	(犭艹日勹亾,LeWhJeXc,gé_xiē_liè,CJK)
獧	(犭罒一口𧘇,LeYtFhOr,juàn,CJK)
獨	(犭罒勹虫,LeYtSnJw,dú,CJK)
獩	(犭止戊一,LeLdUcLd,huì,CJK)
獪	(犭亼囗⺌日,LeTuUdJe,kuài_huá,CJK)
獫	(犭僉,LeOr,xiǎn,CJK)
獬	(犭⺈用刀牛,LeRlQlLz,xiè_hǎ_jiě,CJK)
獭	(犭束⺈贝,LeUhRlDj,tǎ,CJK)
獮	(犭一,LeFhKt,xiǎn_mí,CJK)
獯	(犭千黑,LeHcUc,xūn,CJK)
獰	(犭宀心皿丁,LeErNgUe,níng,CJK)
獱	(犭宀一貝,LeErFhIc,biān,CJK)
獲	(犭艹隹又,LeWhVhWi,huò,CJK)
獳	(犭⻗而,LeTfUa,nòu_rú,CJK)
獴	(犭艹冖一豕,LeWhErKt,měng_méng,CJK)
獵	(犭巛,LeJvQk,liè,CJK)
獶	(犭心夂,LeWvNgJt,nǎo_yōu_náo,CJK)
獷	(犭广黄,LeGpBx,guǎng_jǐng,CJK)
獸	(吅田一口犬,RuSlFhLe,shòu,CJK)
獹	(犭虍田皿,LeQbSlBk,lú,CJK)
獺	(犭束⺈貝,LeUhRlIc,tǎ,CJK)
獻	(虍鬲犬,QbPwLe,xiàn_suō_xī,CJK)
獼	(犭弓一,LeOdFhKt,mí,CJK)
獽	(犭衣吅井一,LeOrRuFh,ráng,CJK)
獾	(犭艹吅隹,LeWhRuVh,huān_quán,CJK)
獿	(犭一自止巳八夂,LeFhCjJt,nǎo_náo,CJK)
玀	(犭罒糹隹,LeYtHtVh,luó_ě,CJK)
玁	(犭吅厂ヿ耳攵,LeRuOyRy,xiǎn,CJK)
玂	(犭艹吅田十斤,LeWhRuOz,qí,CJK)
玃	(犭目目隹又,LeGyGyWi,jué,CJK)
玄	(亠幺,UeBl,xuán_xuàn,CJK)
玅	(亠幺小丿,UeBlOtCk,miào_yāo,CJK)
玆	(亠幺亠幺,UeBlUeBl,zī_xuán,CJK)
率	(亠幺冫十,UeBlLvGl,lǜ_shuài_lüè,CJK)
玈	(亠幺𠂉,UeBlLdOr,lú,CJK)
玉	(王丶,GiOe,yù,CJK)
玊	(王丶,GiOe,sù,CJK)
王	(王,Gi,wáng_wàng_yù,CJK)
玌	(王乚,GiPv,qiú,CJK)
玍	(𠂉土,LdBm,gǎ,CJK)
玎	(王丁,GiUe,dīng,CJK)
玏	(王力,GiAu,lè,CJK)
玐	(王八,GiVy,bā,CJK)
玑	(王几,GiPs,jī,CJK)
玒	(王工,GiNv,hóng,CJK)
玓	(王勹丶,GiSnOe,dì,CJK)
玔	(王川,GiJv,chuàn,CJK)
玕	(王干,GiLr,gān,CJK)
玖	(王㇏,GiRlOe,jiǔ,CJK)
玗	(王一𬺰,GiFhGl,yú,CJK)
玘	(王己,GiJc,qǐ,CJK)
玙	(王一ㄅ一,GiFhPvFh,yú,CJK)
玚	(王ㄋ,GiPvBl,chàng_yáng,CJK)
玛	(王马,GiXh,mǎ,CJK)
玜	(王八厶,GiVyNd,hóng,CJK)
玝	(王𠂉十,GiLdGl,wǔ,CJK)
玞	(王夫,GiSv,fū,CJK)
玟	(王文,GiWm,wén_mín,CJK)
玠	(王人,GiSiKg,jiè,CJK)
玡	(王牙,GiYb,yá_yà,CJK)
玢	(王八刀,GiVyKg,bīn_fēn,CJK)
玣	(王亠卜,GiUeDh,biàn,CJK)
玤	(王丰,GiZh,bàng,CJK)
玥	(王月,GiMd,yuè,CJK)
玦	(王人,GiEhSi,jué,CJK)
玧	(王厶儿,GiNdAh,mén_yǔn,CJK)
玨	(王王,GiGi,jué,CJK)
玩	(王二儿,GiRlAh,wán,CJK)
玪	(王亽ヿ,GiTuPv,jiān_yín_qián_lín,CJK)
玫	(王攵,GiRy,méi,CJK)
玬	(王⺆亠,GiZvUe,dǎn,CJK)
玭	(王匕,GiHsHs,pín,CJK)
玮	(王韦,GiQh,wěi,CJK)
环	(王不,GiCi,huán,CJK)
现	(王见,GiUw,xiàn,CJK)
玱	(王人⺋,GiSiWj,qiāng,CJK)
玲	(王亽龴,GiTuNd,líng,CJK)
玳	(王亻弋,GiKjNd,dài,CJK)
玴	(王廿㇗,GiXkPv,yì,CJK)
玵	(王甘,GiMz,án_gān,CJK)
玶	(王干丷,GiLrVy,píng,CJK)
玷	(王⺊口,GiDhIq,diàn_diān,CJK)
玸	(王勹巳,GiSnDu,fú,CJK)
玹	(王亠幺,GiUeBl,xuán_xuàn_xián,CJK)
玺	(⺈小王丶,RlOtGiOe,xǐ,CJK)
玻	(王皮,GiEm,bō,CJK)
玼	(王止匕,GiLdHs,cǐ_cī_cuō,CJK)
玽	(王句,GiTq,gǒu,CJK)
玾	(王甲,GiSt,jiǎ,CJK)
玿	(王刀口,GiKgIq,sháo,CJK)
珀	(王白,GiDy,pò,CJK)
珁	(王瓦,GiFn,cí,CJK)
珂	(王可,GiZj,kē,CJK)
珃	(王冂土,GiZvBm,rǎn,CJK)
珄	(王生,GiDh,shēng,CJK)
珅	(王日丨,GiJeKs,shēn,CJK)
珆	(王厶口,GiNdIq,yí_tāi,CJK)
珇	(王且,GiRh,zǔ_jù,CJK)
珈	(王力口,GiAuIq,jiā,CJK)
珉	(王民,GiNs,mín,CJK)
珊	(王册,GiJz,shān,CJK)
珋	(王卯,GiFm,liǔ,CJK)
珌	(王心丿,GiNgCk,bì,CJK)
珍	(王人彡,GiSiBl,zhēn,CJK)
珎	(王⺈小,GiRlOt,zhēn,CJK)
珏	(王王丶,GiGiOe,jué,CJK)
珐	(王土厶,GiBmNd,fà,CJK)
珑	(王龙,GiJh,lóng,CJK)
珒	(王聿,GiUa,jīn,CJK)
珓	(王六乂,GiCaOs,jiào,CJK)
珔	(王𠂇丨子,GiGlKsYd,jiàn,CJK)
珕	(王力力力,GiAuAuAu,lì,CJK)
珖	(王光,GiSj,guāng,CJK)
珗	(王⺧儿,GiLzAh,xiān,CJK)
珘	(王舟,GiLk,zhōu,CJK)
珙	(王龷八,GiXkVy,gǒng,CJK)
珚	(王囗大,GiUdXi,yān,CJK)
珛	(王𠂇⺝,GiGlMd,xiù,CJK)
珜	(王羊,GiId,yáng,CJK)
珝	(王羽,GiEh,xǔ,CJK)
珞	(王各,GiQy,luò_lì,CJK)
珟	(王几歹,GiPsQm,sù,CJK)
珠	(王丿未,GiCkJx,zhū,CJK)
珡	(王王人,GiGiSi,qín,CJK)
珢	(王艮,GiTp,yín_kèn,CJK)
珣	(王勹日,GiSnJe,xún,CJK)
珤	(王缶,GiUs,bǎo,CJK)
珥	(王耳,GiQg,ěr,CJK)
珦	(王丿冂口,GiCkZvIq,xiàng,CJK)
珧	(王儿冫,GiAhLvLv,yáo,CJK)
珨	(王亼口,GiTuIq,xiá,CJK)
珩	(王行,GiFj,háng_héng,CJK)
珪	(王土土,GiBmBm,guī,CJK)
珫	(王儿,GiPdAh,chōng,CJK)
珬	(王戊一,GiUcFh,xù,CJK)
班	(王王,GiKgGi,bān,CJK)
珮	(王⺇一巾,GiPsFhUw,pèi,CJK)
珯	(王老,GiRi,lǎo,CJK)
珰	(王⺌彐,GiOtSi,dāng,CJK)
珱	(王ツ女,GiHgSm,yīng,CJK)
珲	(王冖车,GiErYf,huī_hún,CJK)
珳	(王文彡,GiWmBl,wén,CJK)
珴	(王丿扌,GiCkPcIe,é,CJK)
珵	(王口王,GiIqGi,chéng_tǐng,CJK)
珶	(王丷𢎨,GiVyUv,dì_tí,CJK)
珷	(王一弋止,GiFhNdLd,wǔ_wù,CJK)
珸	(王五口,GiJiIq,wú,CJK)
珹	(王戊𠃌,GiUcPv,chéng,CJK)
珺	(王丿口,GiSiCkIq,jùn,CJK)
珻	(王𠂉母,GiLdQt,méi,CJK)
珼	(王貝,GiIc,bèi,CJK)
珽	(王丿士廴,GiCkMfVv,tǐng,CJK)
現	(王見,GiSc,xiàn,CJK)
珿	(王足,GiUz,chù,CJK)
琀	(王亽ヿ口,GiTuPvIq,hán,CJK)
琁	(王𠂉疋,GiLdKf,xuán_qióng,CJK)
琂	(王言,GiMe,yán,CJK)
球	(王一氺丶,GiFhHgOe,qiú,CJK)
琄	(王口⺝,GiIqMd,xuàn,CJK)
琅	(王丶艮,GiOeTp,láng_làng,CJK)
理	(王里,GiDn,lǐ,CJK)
琇	(王禾乃,GiZpVi,xiù,CJK)
琈	(王爫子,GiToYd,fú_fū,CJK)
琉	(王,GiPdJv,liú,CJK)
琊	(王牙阝,GiYbTj,yá,CJK)
琋	(王㐅𠂇巾,GiOsGlUw,xī,CJK)
琌	(王山亽ヿ,GiDsTuPv,líng,CJK)
琍	(王禾刂,GiZpKg,lí,CJK)
琎	(王井辶,GiBzLt,jìn,CJK)
琏	(王车辶,GiYfLt,liǎn,CJK)
琐	(王⺌贝,GiOtDj,suǒ,CJK)
琑	(王⺌⺝,GiOtMd,suǒ,CJK)
琒	(王夂丰,GiJtZh,fēng,CJK)
琓	(王宀二儿,GiErRlAh,wán,CJK)
琔	(王宀疋,GiErKf,diàn,CJK)
琕	(王白丿十,GiDyCkGl,pín_bǐng,CJK)
琖	(王戈戈,GiIeIe,zhǎn,CJK)
琗	(王亠人人十,GiUeSiGl,sè_cuì,CJK)
琘	(王氏日,GiQuJe,mín,CJK)
琙	(王戈口一,GiIeIqFh,yù,CJK)
琚	(王尸古,GiMzQm,jū,CJK)
琛	(王冖八木,GiErVyAj,chēn,CJK)
琜	(王木人人,GiAjSiSi,lái,CJK)
琝	(王日文,GiJeWm,mín,CJK)
琞	(日月王丶,JeMdGiOe,shèng_wàng,CJK)
琟	(王隹,GiVh,wéi_yù,CJK)
琠	(王𠕁,GiJzVy,tiǎn_tiàn,CJK)
琡	(王⺊一小又,GiDhFhWi,chù,CJK)
琢	(王豕丶,GiKtOe,zuó_zhuó,CJK)
琣	(王立口,GiYqIq,běng_pěi,CJK)
琤	(王⺈,GiRlUa,chēng,CJK)
琥	(王虎,GiQb,hǔ,CJK)
琦	(王大可,GiXiZj,qí,CJK)
琧	(一王丶,FhWuGiOe,è,CJK)
琨	(王日匕,GiJeHsHs,kūn,CJK)
琩	(王日曰,GiJeRl,chāng,CJK)
琪	(王,GiMzVy,qí,CJK)
琫	(王㇏,GiZhOePc,běng,CJK)
琬	(王宀夕⺋,GiErXuWj,wǎn,CJK)
琭	(王氺,GiSiHg,lù,CJK)
琮	(王宀示,GiErDd,cóng,CJK)
琯	(王宀㠯,GiErUs,guǎn_gùn_guān_guàn,CJK)
琰	(王火火,GiYvYv,yǎn,CJK)
琱	(王⺆土口,GiZvBmIq,diāo,CJK)
琲	(王非,GiDm,bèi,CJK)
琳	(王木木,GiAjAj,lín,CJK)
琴	(王王亽ヿ,GiGiTuPv,qín,CJK)
琵	(王王匕,GiGiHsHs,pí,CJK)
琶	(王王巴,GiGiEw,pá,CJK)
琷	(王⺶乚,GiIdPv,què,CJK)
琸	(王⺊日十,GiDhJeGl,zhuó,CJK)
琹	(王王木,GiGiAj,qín,CJK)
琺	(王氵土厶,GiHgBmNd,fà,CJK)
琻	(王金,GiTk,jīn,CJK)
琼	(王小,GiWnOt,qióng,CJK)
琽	(王耂日,GiRiJe,dǔ,CJK)
琾	(王田人,GiSlSiKg,jiè,CJK)
琿	(王冖車,GiErJl,hún_huī,CJK)
瑀	(王丿口⽱,GiCkIqFj,yǔ,CJK)
瑁	(王⺜目,GiJeGy,mào,CJK)
瑂	(王目,GiMzGy,méi,CJK)
瑃	(王㇏日,GiZhOeJe,chūn,CJK)
瑄	(王宀{凬字心}一,GiErTeFh,xuān,CJK)
瑅	(王日疋,GiJeKf,tí,CJK)
瑆	(王日生,GiJeDh,xīng,CJK)
瑇	(王龶母,GiZhQt,dài,CJK)
瑈	(王予丿木,GiMaCkAj,róu,CJK)
瑉	(王民日,GiNsJe,mín,CJK)
瑊	(王戊一口,GiUcFhIq,jiān,CJK)
瑋	(王韋,GiIw,wěi,CJK)
瑌	(王而大,GiUaXi,ruǎn,CJK)
瑍	(王⺈冂八大,GiRlZvXi,huàn,CJK)
瑎	(王匕白,GiHsHsDy,xié,CJK)
瑏	(王穴牙,GiZiYb,chuān,CJK)
瑐	(王䒑⺝刂,GiVyMdKg,jiǎn,CJK)
瑑	(王彑,GiSiKt,zhuàn,CJK)
瑒	(王日一勹,GiJeFhBl,chàng_yáng_dàng,CJK)
瑓	(王束丷,GiUhVy,liàn,CJK)
瑔	(王白水,GiDyHg,quán,CJK)
瑕	(王二コ又,GiMzRlWi,xiá,CJK)
瑖	(王一殳,GiPcFhQi,duàn,CJK)
瑗	(王爫一𠂇又,GiToFhWi,yuàn_huán,CJK)
瑘	(王耳阝,GiQgTj,yá,CJK)
瑙	(王巛丿龱,GiJvCkLw,nǎo,CJK)
瑚	(王古月,GiQmMd,hú,CJK)
瑛	(王艹冂大,GiWhZvXi,yīng,CJK)
瑜	(王亼⺝刂,GiTuMdKg,yú,CJK)
瑝	(王白王,GiDyGi,huáng,CJK)
瑞	(王山而,GiDsUa,ruì,CJK)
瑟	(王王心丿,GiGiNgCk,sè,CJK)
瑠	(王卯田,GiFmSl,liú,CJK)
瑡	(王丿㠯一巾,GiCkUsUw,shī,CJK)
瑢	(王宀谷,GiErPu,róng,CJK)
瑣	(王⺌貝,GiOtIc,suǒ,CJK)
瑤	(王缶,GiMdUs,yáo,CJK)
瑥	(王日皿,GiJeBk,wēn,CJK)
瑦	(王烏,GiTz,wǔ,CJK)
瑧	(王㇏禾,GiZhOeZp,zhēn,CJK)
瑨	(王一业日,GiFhOqJe,jìn,CJK)
瑩	(火火冖王丶,YvYvErOe,yíng_yǐng,CJK)
瑪	(王馬,GiGb,mǎ,CJK)
瑫	(王爫臼,GiToWi,tāo,CJK)
瑬	(氵王丶,HgPdJvOe,liú,CJK)
瑭	(王广肀口,GiGpUaIq,táng,CJK)
瑮	(王覀木,GiQpAj,lì,CJK)
瑯	(王丶阝,GiOeTpTj,láng,CJK)
瑰	(王鬼,GiBy,guī,CJK)
瑱	(王十目,GiGlGyVy,zhèn_tiàn,CJK)
瑲	(王人口,GiSiFkIq,qiāng_chēng_cāng,CJK)
瑳	(王⺶工,GiIdNv,cuō,CJK)
瑴	({彀字框无一}一王,VsFhGi,jué,CJK)
瑵	(王又丶虫,GiWiOeJw,zhǎo,CJK)
瑶	(王爫缶,GiToUs,yáo,CJK)
瑷	(王爫冖𠂇又,GiToErWi,ài,CJK)
瑸	(王宀,GiErOzVy,bīn,CJK)
瑹	(王艹人禾,GiWhSiZp,shū_tū,CJK)
瑺	(王巾,GiXyUw,cháng,CJK)
瑻	(王毌貝,GiSfIc,kūn,CJK)
瑼	(王十田寸,GiGlSlLw,zhuān,CJK)
瑽	(王彳人人龰,GiJbSiLd,cōng,CJK)
瑾	(王廿口龶,GiXkIqZh,jǐn_jìn,CJK)
瑿	(匚矢殳王丶,EhEuQiOe,yī,CJK)
璀	(王山隹,GiDsVh,cuǐ,CJK)
璁	(王丿心,GiCkLwNg,cōng,CJK)
璂	(王土,GiMzVyBm,qí,CJK)
璃	(王亠㐅凵禸,GiUeOsFj,lí,CJK)
璄	(王音儿,GiArAh,jǐng,CJK)
璅	(王巛田木,GiJvSlAj,suǒ_zǎo,CJK)
璆	(王羽人彡,GiEhSiBl,qiú,CJK)
璇	(王方𠂉疋,GiMxLdKf,xuán,CJK)
璈	(王敖,GiTk,áo,CJK)
璉	(王車辶,GiJlLt,liǎn_lián,CJK)
璊	(王廿巾入入,GiXkUwXj,mén,CJK)
璋	(王音十,GiArGl,zhāng,CJK)
璌	(王宀一由八,GiErFhVy,yín,CJK)
璍	(王艹艹,GiWhPcWh,yè,CJK)
璎	(王贝贝女,GiDjDjSm,yīng,CJK)
璏	(王彑矢匕,GiSiHsHs,wèi_zhì,CJK)
璐	(王⻊各,GiUzQy,lù,CJK)
璑	(王𠂉卌一灬,GiLdDsYv,wú,CJK)
璒	(王癶豆,GiVyEi,dēng,CJK)
璓	(王艹禾乃,GiWhZpVi,xiù,CJK)
璔	(王丷囗⺌日,GiVyUdJe,zēng,CJK)
璕	(王彐工口寸,GiSiNvLw,xún,CJK)
璖	(王氵匚コ木,GiHgEhAj,qú,CJK)
璗	(氵日一勹王丶,HgJeFhOe,dàng,CJK)
璘	(王米夕㐄,GiMgXuGj,lín,CJK)
璙	(王大丷日小,GiXiVyOt,liáo,CJK)
璚	(王予丿冂八口,GiMaCkIq,qióng_jué,CJK)
璛	(王肀片爿一,GiUaNbFh,sù,CJK)
璜	(王黄,GiBx,huáng,CJK)
璝	(王虫貝,GiJwIc,guī,CJK)
璞	(王业⺶㇏,GiOqIdOe,pú,CJK)
璟	(王日小,GiJeWnOt,jǐng,CJK)
璠	(王丿米田,GiCkMgSl,fán,CJK)
璡	(王隹辶,GiVhLt,jìn_jīn,CJK)
璢	(王田,GiFmSl,liú,CJK)
璣	(王幺幺戈人,GiBlBlSi,jī,CJK)
璤	(王十田心,GiGlSlNg,huì,CJK)
璥	(王艹句攵,GiWhTqRy,jǐng,CJK)
璦	(王爫冖心夂,GiToErJt,ài,CJK)
璧	(辟王丶,RkGiOe,bì,CJK)
璨	(王歺又米,GiQmWiMg,càn,CJK)
璩	(王虍豕,GiQbKt,qú,CJK)
璪	(王口吅木,GiIqRuAj,zǎo,CJK)
璫	(王田,GiXySl,dāng,CJK)
璬	(王白方攵,GiDyMxRy,jiǎo,CJK)
璭	(王冖車辶,GiErJlLt,gùn,CJK)
璮	(王亠囗口日一,GiUeUdFh,tǎn,CJK)
璯	(王亼囗⺌日,GiTuUdJe,huì_kuài,CJK)
環	(王罒一口𧘇,GiYtFhOr,huán_huàn,CJK)
璱	(王王王心丿,GiGiGiCk,sè,CJK)
璲	(王丷豕辶,GiVyKtLt,suì,CJK)
璳	(王丿未貝,GiCkJxIc,tián,CJK)
璴	(王木木疋,GiAjAjKf,chǔ,CJK)
璵	(王一ㄅ丨,GiWiFhVy,yú,CJK)
璶	(王⺻灬皿,GiUaYvBk,jìn,CJK)
璷	(王甫方攵,GiGnMxRy,lú_fū,CJK)
璸	(王宀一貝,GiErFhIc,bīn_pián,CJK)
璹	(王士乛工一口寸,GiMfPvLw,shú,CJK)
璺	(冂一口冖王丶,WiZvFhOe,wèn,CJK)
璻	(王羽亠人人十,GiEhUeGl,zuǐ,CJK)
璼	(王臣皿,GiDzZiBk,lán,CJK)
璽	(一王丶,FhKtGiOe,xǐ,CJK)
璾	(王亠{齊字腰}二,GiUeIuRl,zī_jì,CJK)
璿	(王目,GiQmPuGy,xuán,CJK)
瓀	(王⻗而,GiTfUa,ruǎn,CJK)
瓁	(王艹隹又,GiWhVhWi,wò,CJK)
瓂	(王艹土厶皿,GiWhBmBk,gài,CJK)
