⺀	[丶丶,bīng_èr,部首補充]
霟	[⻗氵龷八,hóng,CJK]
霠	[⻗立亽ヿ,yīn,CJK]
霡	[⻗月丶水,mài,CJK]
霢	[⻗月⺁,mài,CJK]
霣	[⻗口貝,yǔn,CJK]
霤	[⻗卯田,liù,CJK]
霥	[⻗冖一豕,mèng,CJK]
霦	[⻗木木彡,bīn,CJK]
霧	[⻗予丿夂力,wù_méng,CJK]
霨	[⻗尸示寸,wèi,CJK]
霩	[⻗子阝,kuò,CJK]
霪	[⻗氵爫丿士,yín,CJK]
霫	[⻗羽白,xí,CJK]
霬	[⻗田龷八,yì,CJK]
霭	[⻗讠日勹亾,ǎi,CJK]
霮	[⻗氵㇗,dàn,CJK]
霯	[⻗癶豆,tèng,CJK]
霰	[⻗龷⺝攵,xiàn_sǎn,CJK]
霱	[⻗予丿冂八口,yù,CJK]
露	[⻗⻊各,lù_lòu,CJK]
霳	[⻗阝夂一生,lóng,CJK]
霴	[⻗云氺,dài,CJK]
霵	[⻗口耳,jí,CJK]
霶	[⻗氵冖方,pāng,CJK]
霷	[⻗日日一勹,yáng,CJK]
霸	[⻗革月,bà_pò,CJK]
霹	[⻗辟,pī,CJK]
霺	[⻗{微框}几,wéi,CJK]
霻	[⻗曲豆,fēng,CJK]
霼	[⻗云气米,xì,CJK]
霽	[⻗亠{齊字腰}二,jì,CJK]
霾	[⻗豸里,mái_lí,CJK]
霿	[⻗予丿夂目,méng_mào_wù,CJK]
靀	[⻗艹冖一豕,méng,CJK]
靁	[⻗田田田,léi,CJK]
靂	[⻗厂禾禾止,lì,CJK]
靃	[⻗隹隹,huò_suǐ_suǒ,CJK]
靄	[⻗言日勹亾,ǎi,CJK]
靅	[⻗云弗貝,fèi,CJK]
靆	[⻗云氺辶,dài,CJK]
靇	[⻗立⺝{龍字边},lóng_líng,CJK]
靈	[⻗口吅工人人,líng,CJK]
靉	[⻗云爫冖心夂,ài_yǐ,CJK]
靊	[⻗山丰丰豆,fēng,CJK]
靋	[⻗氵厂禾禾止,lì,CJK]
靌	[⻗宀王⺈小貝,bǎo,CJK]
靍	[⻗隹鳥,hè,CJK]
靎	[⻗金鳥,hè,CJK]
靏	[⻗冖隹鳥,hè,CJK]
靐	[⻗田⻗田⻗田,bìng,CJK]
靑	[龶円,qīng,CJK]
青	[龶⺝,qīng_jīng,CJK]
靓	[龶⺝见,jìng_liàng,CJK]
靔	[龶⺝气,tiān,CJK]
靕	[一止龶⺝,zhēn,CJK]
靖	[立龶⺝,jìng,CJK]
靗	[龶⺝光,chēng,CJK]
靘	[龶⺝⺈巴,qìng_qīng_jìng,CJK]
静	[龶⺝⺈,jìng,CJK]
靚	[龶⺝見,jìng_liáng,CJK]
靛	[龶⺝宀疋,diàn,CJK]
靜	[龶⺝爫,jìng,CJK]
靝	[龶⺝气米,tiān,CJK]
非	[非,fēi_fěi,CJK]
靟	[非毛,fēi,CJK]
靠	[⺧口非,kào,CJK]
靡	[麻非,mí_mǐ_má,CJK]
面	[面,miàn,CJK]
靣	[靣,miàn,CJK]
靤	[面勹巳,bào,CJK]
靥	[厂犬面,yè,CJK]
靦	[面見,tiǎn_miǎn,CJK]
靧	[面虫貝,huì,CJK]
靨	[厂日月犬面,yè_yǎn,CJK]
革	[革,gé_jí,CJK]
靪	[革丁,dīng,CJK]
靫	[革又丶,chá,CJK]
靬	[革干,qián_jiān_kān_hàn,CJK]
靭	[革刀丶,rèn,CJK]
靮	[革勹丶,dí,CJK]
靯	[革土,dù,CJK]
靰	[革一儿,wù,CJK]
靱	[革刀丶,rèn,CJK]
靲	[革亽ヿ,qín,CJK]
靳	[革斤,jìn,CJK]
靴	[革亻匕,xuē,CJK]
靵	[革ヿ土,niǔ,CJK]
靶	[革巴,bǎ_bà,CJK]
靷	[革弓丨,yǐn,CJK]
靸	[革及,sǎ_tā,CJK]
靹	[革冂人,nà,CJK]
靺	[革一木,mò_wà,CJK]
靻	[革且,zǔ,CJK]
靼	[革日一,dá,CJK]
靽	[革丷,bàn,CJK]
靾	[革廿㇗,yì,CJK]
靿	[革幺力,yào,CJK]
鞀	[革刀口,táo,CJK]
鞁	[革皮,bèi_bài_bì,CJK]
鞂	[革禾,jiē,CJK]
鞃	[革弓厶,hóng,CJK]
鞄	[革勹巳,páo,CJK]
鞅	[革冂大,yāng_yàng_yǎng,CJK]
鞆	[革一冂人,bǐng,CJK]
鞇	[革囗大,yīn,CJK]
鞈	[革亼口,gé_sǎ_tà,CJK]
鞉	[革儿冫,táo,CJK]
鞊	[革士口,jié_jí,CJK]
鞋	[革土土,xié_wā,CJK]
鞌	[宀女革,ān,CJK]
鞍	[革宀女,ān,CJK]
鞎	[革艮,hén,CJK]
鞏	[工几丶革,gǒng,CJK]
鞐	[革⺊一一卜,qiǎ,CJK]
鞑	[革大辶,dá,CJK]
鞒	[革丿大,qiáo,CJK]
鞓	[革口王,tīng,CJK]
鞔	[革儿,mán_mèn,CJK]
鞕	[革{凬字心},yìng_biān,CJK]
鞖	[革爫女,suī,CJK]
鞗	[亻丨夂革,tiáo,CJK]
鞘	[革⺌⺝,qiào_shāo,CJK]
鞙	[革口⺝,xuàn_juān,CJK]
鞚	[革穴工,kòng,CJK]
鞛	[革立口,běng,CJK]
鞜	[革水曰,tà,CJK]
鞝	[革尚,shàng_zhǎng,CJK]
鞞	[革白丿十,bǐng_bì_pí_bēi,CJK]
鞟	[革子,kuò,CJK]
鞠	[革勹米,jū_qū_qiōng,CJK]
鞡	[革扌立,la,CJK]
鞢	[革廿㇗木,xiè_zhá_dié,CJK]
鞣	[革予丿木,róu,CJK]
鞤	[土土寸革,bāng,CJK]
鞥	[革亼口廾,ēng,CJK]
鞦	[革禾火,qiū,CJK]
鞧	[革丷酉,qiū,CJK]
鞨	[革日勹亾,hé_shé_mò,CJK]
鞩	[革⺌⺝刂,qiào,CJK]
鞪	[予丿攵革,mù_móu,CJK]
鞫	[革勹言,jū_qū,CJK]
鞬	[革聿廴,jiān_jiàn,CJK]
鞭	[革亻{凬字心},biān,CJK]
鞮	[革日疋,dī,CJK]
鞯	[革艹𠂇丨子,jiān,CJK]
鞰	[革日皿,wēn,CJK]
鞱	[革爫臼,tāo,CJK]
鞲	[革井王冂,gōu,CJK]
鞳	[革艹亼口,tà,CJK]
鞴	[革龷丿用,bèi_fú_bù_bài,CJK]
鞵	[革爫幺大,xié,CJK]
鞶	[舟殳革,pán,CJK]
鞷	[鬲革,gé,CJK]
鞸	[革田艹,bì_bǐng,CJK]
鞹	[革子阝,kuò,CJK]
鞺	[革土,tāng,CJK]
鞻	[革口丨女,lóu,CJK]
鞼	[革虫貝,guì_huì,CJK]
鞽	[革丿大口冂口,qiáo_qiāo_juē,CJK]
鞾	[革艹艹,xuē,CJK]
鞿	[革幺幺戈人,jī,CJK]
韀	[革一ㄅ灬,jiān,CJK]
韁	[革一田一田一,jiāng,CJK]
韂	[革⺈厂八言,chàn,CJK]
韃	[革土羊辶,dá_tà,CJK]
韄	[革艹隹又,hù,CJK]
韅	[革日幺幺灬,xiǎn,CJK]
韆	[革覀大巳辶,qiān,CJK]
韇	[革士罒貝,dú,CJK]
韈	[革艹罒戊丶,wà,CJK]
韉	[革艹一ㄅ灬,jiān,CJK]
韊	[革艹門束丷,lán,CJK]
韋	[韋,wéi_huí,CJK]
韌	[韋刀丶,rèn,CJK]
韍	[韋𠂇又丶,fú,CJK]
韎	[韋一木,mèi,CJK]
韏	[丷夫韋,quàn_juàn,CJK]
韐	[韋亼口,gé,CJK]
韑	[光韋,wěi,CJK]
韒	[韋⺌⺝,qiào_shāo,CJK]
韓	[十日十韋,hán,CJK]
韔	[韋長,chàng,CJK]
韕	[韋子,kuò,CJK]
韖	[韋予丿木,rǒu,CJK]
韗	[韋冖車,yùn,CJK]
韘	[韋廿㇗木,shè,CJK]
韙	[日疋韋,wěi,CJK]
韚	[韋革,gé,CJK]
韛	[韋龷丿用,bài_fú,CJK]
韜	[韋爫臼,tāo_tào,CJK]
韝	[韋井王冂,gōu,CJK]
韞	[韋日皿,yùn_wēn,CJK]
韟	[韋白大十,gāo,CJK]
韠	[韋田艹,bì,CJK]
韡	[韋艹艹,wěi_xuē,CJK]
韢	[韋十田心,suì_huì,CJK]
韣	[韋罒勹虫,dú,CJK]
韤	[韋艹罒戊丶,wà,CJK]
韥	[韋士罒貝,dú,CJK]
韦	[韦,wéi,CJK]
韧	[韦刀丶,rèn,CJK]
韨	[韦𠂇又丶,fú,CJK]
韩	[十日十韦,hán,CJK]
韪	[日疋韦,wěi,CJK]
韫	[韦日皿,yùn,CJK]
韬	[韦爫臼,tāo,CJK]
韭	[非一,jiǔ,CJK]
韮	[艹非一,jiǔ,CJK]
韯	[十戈非一,xiān,CJK]
韰	[歺又非一,xiè,CJK]
韱	[人人戈非一,xiān,CJK]
韲	[亠{齊字腰}非一,jī,CJK]
音	[音,yīn,CJK]
韴	[音一巾,zá,CJK]
韵	[音勹冫,yùn,CJK]
韶	[音刀口,sháo,CJK]
韷	[音屮凵,lè,CJK]
韸	[音夂丰,péng,CJK]
韹	[音白王,huáng_yīng,CJK]
韺	[音艹冂大,yīng,CJK]
韻	[音口貝,yùn,CJK]
韼	[音夂丰辶,péng,CJK]
韽	[亽ヿ酉音,ān,CJK]
韾	[士殳音,yīn,CJK]
響	[乡丶阝音,xiǎng,CJK]
頀	[音艹隹又,hù,CJK]
頁	[頁,yè_xié,CJK]
頂	[丁頁,dǐng,CJK]
頃	[頁,qǐng_qīng_kuǐ,CJK]
頄	[九頁,kuí,CJK]
項	[工頁,xiàng,CJK]
順	[川頁,shùn,CJK]
頇	[干頁,hān_àn,CJK]
須	[彡頁,xū,CJK]
頉	[止頁,yí,CJK]
頊	[王頁,xū,CJK]
頋	[厂⺋頁,ě,CJK]
頌	[八厶頁,sòng_róng,CJK]
頍	[支頁,kuǐ,CJK]
頎	[斤頁,qí_kěn,CJK]
頏	[亠几頁,háng_gāng_hàng,CJK]
預	[予頁,yù,CJK]
頑	[二儿頁,wán_kūn,CJK]
頒	[八刀頁,bān_fén,CJK]
頓	[一頁,dùn_dú,CJK]
頔	[由頁,dí,CJK]
頕	[⺊口頁,dān_diàn,CJK]
頖	[丷頁,pàn,CJK]
頗	[皮頁,pō_pǒ_pò_pí,CJK]
領	[亽龴頁,lǐng,CJK]
頙	[一止頁,chè,CJK]
頚	[又土頁,jǐng,CJK]
頛	[耒頁,lèi,CJK]
頜	[亼口頁,hé_hán_qīn_gé,CJK]
頝	[六乂頁,qiāo,CJK]
頞	[宀女頁,è_àn,CJK]
頟	[各頁,é,CJK]
頠	[⺈厂⺋頁,wěi,CJK]
頡	[士口頁,xié_jiá_jié,CJK]
頢	[舌頁,kuò,CJK]
頣	[臣頁,shěn,CJK]
頤	[頁,yí,CJK]
頥	[丿臣頁,yí,CJK]
頦	[亥頁,hái_kē_ké,CJK]
頧	[丿㠯頁,duǐ_duī,CJK]
頨	[羽頁,yǔ_biàn,CJK]
頩	[䒑廾頁,pīng_pǐng,CJK]
頪	[米頁,lèi,CJK]
頫	[儿冫頁,fǔ_tāo_tiào,CJK]
頬	[夫丷頁,jiá,CJK]
頭	[豆頁,tóu_tou,CJK]
頮	[水廾頁,huì,CJK]
頯	[廾頁,kuí,CJK]
頰	[大人人頁,jiá,CJK]
頱	[爫寸頁,luō,CJK]
頲	[丿士廴頁,tǐng,CJK]
頳	[土頁,chēng,CJK]
頴	[匕示頁,yǐng_jǐng,CJK]
頵	[丿口頁,yūn,CJK]
頶	[⺧口頁,hú,CJK]
頷	[亽ヿ口頁,hàn,CJK]
頸	[一巛工頁,jǐng_gěng,CJK]
頹	[禾儿頁,tuí,CJK]
頺	[禾乃頁,tuí,CJK]
頻	[止頁,pín_bīn,CJK]
頼	[束頁,lài,CJK]
頽	[禾几頁,tuí,CJK]
頾	[彡頁止匕,zī,CJK]
頿	[彡止匕頁,zī,CJK]
顀	[隹頁,chuí,CJK]
顁	[宀疋頁,dìng_dǐng,CJK]
顂	[木人人頁,lài_lái,CJK]
顃	[火火頁,tán_shǎn,CJK]
顄	[乛氺凵頁,hàn,CJK]
顅	[户⺝頁,qiān,CJK]
顆	[田木頁,kē_kě_kuǎn,CJK]
顇	[亠人人十頁,cuì_zú,CJK]
顈	[匕糸頁,xuǎn_jiōng_jiǒng_xiàn,CJK]
顉	[金頁,qīn,CJK]
顊	[丿㠯十頁,yí,CJK]
顋	[田心頁,sāi,CJK]
題	[日疋頁,tí_dì,CJK]
額	[宀各頁,é,CJK]
顎	[吅二ㄅ頁,è,CJK]
顏	[文厂彡頁,yán,CJK]
顐	[冖車頁,wèn_hún_hùn,CJK]
顑	[戊一口頁,kǎn_yàn,CJK]
顒	[田⽱頁,yóng_yú,CJK]
顓	[山而頁,zhuān,CJK]
顔	[厂彡頁,yán_yá,CJK]
顕	[日业頁,xiǎn,CJK]
顖	[丿龱心頁,xìn,CJK]
顗	[山豆頁,yǐ,CJK]
願	[厂白小頁,yuàn_yuǎn,CJK]
顙	[又又又木頁,sǎng,CJK]
顚	[匕目㇗八頁,diān_tián_tiàn,CJK]
顛	[十目頁,diān,CJK]
顜	[井王冂頁,jiǎng,CJK]
顝	[骨頁,kuī_kuǎ,CJK]
類	[米犬頁,lèi,CJK]
顟	[羽人彡頁,láo,CJK]
顠	[覀示頁,piǎo,CJK]
顡	[豕頁,wài_zhuài,CJK]
顢	[廿巾入入頁,mán,CJK]
顣	[戊⺊一小頁,cù,CJK]
顤	[土土土一儿頁,yáo_qiào,CJK]
顥	[日小頁,hào,CJK]
顦	[隹灬頁,qiáo,CJK]
顧	[户隹頁,gù,CJK]
顨	[頁頁丌,xùn,CJK]
顩	[僉頁,yǎn_qìn_hàn_qiǎn,CJK]
顪	[止戊一頁,huì,CJK]
顫	[亠囗口日一頁,chàn_zhàn_shān,CJK]
顬	[⻗而頁,rú,CJK]
顭	[艹罒冖夕頁,méng,CJK]
顮	[宀一貝頁,bīn,CJK]
顯	[日幺幺灬頁,xiǎn_xiàn,CJK]
顰	[止頁白丿十,pín,CJK]
顱	[虍田皿頁,lú,CJK]
顲	[火火亠囗口頁,lǎn_lǐn,CJK]
顳	[耳耳耳頁,niè,CJK]
顴	[艹吅隹頁,quán,CJK]
页	[页,yè_xié,CJK]
顶	[丁页,dǐng,CJK]
顷	[页,qǐng,CJK]
顸	[干页,hān,CJK]
项	[工页,xiàng,CJK]
顺	[川页,shùn,CJK]
须	[彡页,xū,CJK]
顼	[王页,xū,CJK]
顽	[二儿页,wán,CJK]
顾	[厂⺋页,gù,CJK]
顿	[一页,dùn_dú,CJK]
颀	[斤页,qí,CJK]
颁	[八刀页,bān,CJK]
颂	[八厶页,sòng,CJK]
颃	[亠几页,háng,CJK]
预	[予页,yù,CJK]
颅	[⺊尸页,lú,CJK]
领	[亽龴页,lǐng,CJK]
颇	[皮页,pǒ_pō,CJK]
颈	[ス工页,jǐng_gěng,CJK]
颉	[士口页,jié_xié,CJK]
颊	[夫丷页,jiá,CJK]
颋	[丿士廴页,tǐng,CJK]
颌	[亼口页,hé_gé,CJK]
颍	[匕水页,yǐng,CJK]
颎	[匕火页,jiǒng,CJK]
颏	[亥页,kē_ké,CJK]
颐	[页,yí,CJK]
频	[止页,pín,CJK]
颒	[水廾页,huì,CJK]
颓	[禾几页,tuí,CJK]
颔	[亽ヿ口页,hàn,CJK]
颕	[匕示页,yǐng,CJK]
颖	[匕禾页,yǐng,CJK]
颗	[田木页,kē,CJK]
题	[日疋页,tí,CJK]
颙	[田⽱页,yóng,CJK]
颚	[吅二ㄅ页,è,CJK]
颛	[山而页,zhuān,CJK]
颜	[厂彡页,yán,CJK]
额	[宀各页,é,CJK]
颞	[耳又又页,niè,CJK]
颟	[艹两页,mān,CJK]
颠	[十目页,diān,CJK]
颡	[又又又木页,sǎng,CJK]
颢	[日小页,hào,CJK]
颣	[米糸页,lèi,CJK]
颤	[亠囗口日一页,chàn_zhàn,CJK]
颥	[⻗而页,rú,CJK]
颦	[止页白丿十,pín,CJK]
颧	[艹吅隹页,quán,CJK]
風	[風,fēng_fèng_fěng,CJK]
颩	[風彡,biāo_diū,CJK]
颪	[一卜風,guā,CJK]
颫	[風夫,fú,CJK]
颬	[風牙,xiā,CJK]
颭	[風⺊口,zhǎn,CJK]
颮	[風勹巳,biāo_páo,CJK]
颯	[立風,sà_lì,CJK]
颰	[風𠂇又丶,bá_fú,CJK]
颱	[風厶口,tái,CJK]
颲	[風歹刂,liè,CJK]
颳	[風舌,guā_jǐ,CJK]
颴	[風𠂉疋,xuàn,CJK]
颵	[風⺌⺝,shāo_xiāo,CJK]
颶	[風目,jù,CJK]
颷	[風火火,biāo,CJK]
颸	[風田心,sī,CJK]
颹	[風韋,wěi,CJK]
颺	[風日一勹,yáng,CJK]
颻	[爫缶風,yáo_yào,CJK]
颼	[風臼丨又,sōu,CJK]
颽	[山豆風,kǎi,CJK]
颾	[風又丶虫,sōu_sāo,CJK]
颿	[馬風,fān,CJK]
飀	[風卯田,liú,CJK]
飁	[羽白風,xí,CJK]
飂	[風羽人彡,liù_liáo,CJK]
飃	[風覀示,piāo_piào,CJK]
飄	[覀示風,piāo,CJK]
飅	[風田,liú,CJK]
飆	[犬犬犬風,biāo,CJK]
飇	[風犬犬犬,biāo,CJK]
飈	[風火火火,biāo,CJK]
飉	[風大丷日小,liáo,CJK]
飊	[火火火風,biāo,CJK]
飋	[風王王心丿,sè,CJK]
飌	[艹吅隹風,fēng,CJK]
飍	[風風風,xiū,CJK]
风	[几乂,fēng,CJK]
飏	[几乂ㄋ,yáng,CJK]
飐	[几乂⺊口,zhǎn,CJK]
飑	[几乂勹巳,biāo,CJK]
飒	[立几乂,sà,CJK]
飓	[几乂目,jù,CJK]
飔	[几乂田心,sī,CJK]
飕	[几乂臼丨又,sōu,CJK]
飖	[爫缶几乂,yáo,CJK]
飗	[几乂卯田,liú,CJK]
飘	[覀示几乂,piāo,CJK]
飙	[犬犬犬几乂,biāo,CJK]
飚	[几乂火火火,biāo,CJK]
飛	[飛,fēi,CJK]
飜	[丿米田飛,fān,CJK]
飝	[飛飛飛,fēi,CJK]
飞	[飞,fēi,CJK]
食	[食,shí_sì_yì,CJK]
飠	[飠,shí,CJK]
飡	[冫食,cān,CJK]
飢	[飠几,jī,CJK]
飣	[飠丁,dìng,CJK]
飤	[飠人,sì,CJK]
飥	[飠丿七,tuō,CJK]
飦	[飠干,zhān_gān,CJK]
飧	[夕食,sūn,CJK]
飨	[乡食,xiǎng,CJK]
飩	[飠一,tún_zhùn,CJK]
飪	[飠丿士,rèn,CJK]
飫	[飠丿大,yù,CJK]
飬	[丷夫丶艮,juàn_yǒng,CJK]
飭	[飠𠂉力,chì_shì,CJK]
飮	[⻞欠,yǐn,CJK]
飯	[飠⺁又,fàn,CJK]
飰	[飠亠卜,fàn,CJK]
飱	[歹食,sūn_cān,CJK]
飲	[飠欠,yǐn_yìn,CJK]
飳	[飠丶王,tǒu_zhù,CJK]
飴	[飠厶口,yí_sì,CJK]
飵	[飠乍,zuò_zé,CJK]
飶	[飠心丿,bì,CJK]
飷	[飠且,jiě,CJK]
飸	[口一ㄅ食,tāo,CJK]
飹	[飠卯,bǎo,CJK]
飺	[止匕食,cí,CJK]
飻	[飠人彡,tiè,CJK]
飼	[飠𠃌一口,sì,CJK]
飽	[飠勹巳,bǎo,CJK]
飾	[飠𠂉巾,shì_chì,CJK]
飿	[飠屮凵,duò,CJK]
餀	[飠艹乂,hài,CJK]
餁	[飠亻丿士,rèn,CJK]
餂	[飠舌,tiǎn_tián,CJK]
餃	[飠六乂,jiǎo_jiào,CJK]
餄	[飠亼口,jiá_hé,CJK]
餅	[飠䒑廾,bǐng,CJK]
餆	[飠儿冫,yáo,CJK]
餇	[飠冂一口,tóng,CJK]
餈	[冫欠食,cí,CJK]
餉	[飠丿冂口,xiǎng,CJK]
養	[⺶㇏丶艮,yǎng_yàng,CJK]
餋	[丷夫食,juàn,CJK]
餌	[飠耳,ěr,CJK]
餍	[厂犬食,yàn,CJK]
餎	[飠各,le,CJK]
餏	[飠衣,xī,CJK]
餐	[歺又食,cān_sūn,CJK]
餑	[飠十冖子,bō,CJK]
餒	[飠爫女,něi,CJK]
餓	[飠丿扌,è,CJK]
餔	[飠甫,bù_bū,CJK]
餕	[飠厶八夂,jùn,CJK]
餖	[飠豆,dòu,CJK]
餗	[飠束,sù,CJK]
餘	[飠人禾,yú_yé,CJK]
餙	[飠㐅𠂇巾,shì_xī,CJK]
餚	[飠㐅𠂇⺝,yáo,CJK]
餛	[飠日匕,hún_kūn,CJK]
餜	[飠田木,guǒ,CJK]
餝	[飠艹方,shì,CJK]
餞	[飠戈戈,jiàn,CJK]
餟	[飠又又又又,zhuì,CJK]
餠	[飠丿丿干,bǐng,CJK]
餡	[飠⺈臼,xiàn_kàn,CJK]
餢	[飠立口,bù,CJK]
餣	[飠大日乚,yè,CJK]
餤	[飠火火,tán_dàn,CJK]
餥	[非食,fēi,CJK]
餦	[飠長,zhāng,CJK]
餧	[飠禾女,wèi_něi,CJK]
館	[飠宀㠯,guǎn,CJK]
餩	[飠人亥,è,CJK]
餪	[飠而大,nuǎn_nuàn,CJK]
餫	[飠冖車,yùn_hún,CJK]
餬	[飠古月,hú,CJK]
餭	[飠白王,huáng,CJK]
餮	[歹人彡食,tiè,CJK]
餯	[飠彑,huì,CJK]
餰	[飠行氵,jiān_zhān,CJK]
餱	[飠亻矢,hóu,CJK]
餲	[飠日勹亾,ài_hé,CJK]
餳	[飠日一勹,táng_xíng,CJK]
餴	[飠大十廾,fēn,CJK]
餵	[飠田一,wèi,CJK]
餶	[飠骨,gǔ,CJK]
餷	[飠木日一,chā,CJK]
餸	[飠䒑大辶,sòng,CJK]
餹	[飠广肀口,táng,CJK]
餺	[飠甫寸,bó,CJK]
餻	[飠⺷灬,gāo,CJK]
餼	[飠气米,xì,CJK]
餽	[飠鬼,kuì,CJK]
餾	[飠卯田,liù_liú,CJK]
餿	[飠臼丨又,sōu,CJK]
饀	[飠爫臼,táo_tāo_xiàn,CJK]
饁	[飠土厶皿,yè,CJK]
饂	[飠日皿,wēn,CJK]
饃	[飠艹日大,mó,CJK]
饄	[飠土,táng,CJK]
饅	[飠日罒又,mán,CJK]
饆	[飠田艹,bì,CJK]
饇	[飠匚口吅,yù,CJK]
饈	[飠⺶ヿ土,xiū,CJK]
饉	[飠廿口龶,jǐn,CJK]
饊	[飠龷⺝攵,sǎn,CJK]
饋	[飠虫貝,kuì_tuí,CJK]
饌	[飠巳巳龷八,zhuàn_xuǎn,CJK]
饍	[飠羊䒑口,shàn,CJK]
饎	[飠壴口,chì,CJK]
饏	[ヿ耳攵食,dàn,CJK]
饐	[飠士冖豆,yì_yē_èn,CJK]
饑	[飠幺幺戈人,jī_qí,CJK]
饒	[飠土土土一儿,ráo,CJK]
饓	[飠木,chēng,CJK]
饔	[亠乡隹食,yōng,CJK]
饕	[口一ㄅ虎食,tāo,CJK]
饖	[飠止戊一,wèi,CJK]
饗	[乡丶阝食,xiǎng,CJK]
饘	[飠亠囗口日一,zhān,CJK]
饙	[飠十艹貝,fēn,CJK]
饚	[飠艹土厶皿,hài,CJK]
饛	[飠艹冖一豕,méng,CJK]
饜	[厂日月犬食,yàn,CJK]
饝	[飠麻石,mó,CJK]
饞	[飠匕匕兔,chán,CJK]
饟	[飠衣吅井一,xiǎng,CJK]
饠	[飠罒糹隹,luó,CJK]
饡	[飠⺧儿⺧儿貝,zàn,CJK]
饢	[飠十口冖吅井一𧘇,náng_nǎng,CJK]
饣	[饣,shí,CJK]
饤	[饣丁,dìng,CJK]
饥	[饣几,jī,CJK]
饦	[饣丿七,tuō,CJK]
饧	[饣ㄋ,táng_xíng,CJK]
饨	[饣一,tún,CJK]
饩	[饣气,xì,CJK]
饪	[饣丿士,rèn,CJK]
饫	[饣丿大,yù,CJK]
饬	[饣𠂉力,chì,CJK]
饭	[饣⺁又,fàn,CJK]
饮	[饣欠,yǐn_yìn,CJK]
饯	[饣一戈,jiàn,CJK]
饰	[饣𠂉巾,shì,CJK]
饱	[饣勹巳,bǎo,CJK]
饲	[饣𠃌一口,sì,CJK]
饳	[饣屮凵,duò,CJK]
饴	[饣厶口,yí,CJK]
饵	[饣耳,ěr,CJK]
饶	[饣一儿,ráo,CJK]
饷	[饣丿冂口,xiǎng,CJK]
饸	[饣亼口,hé,CJK]
饹	[饣各,le_gē,CJK]
饺	[饣六乂,jiǎo,CJK]
饻	[饣衣,xī,CJK]
饼	[饣䒑廾,bǐng,CJK]
饽	[饣十冖子,bō,CJK]
饾	[饣豆,dòu,CJK]
饿	[饣丿扌,è,CJK]
馀	[饣人禾,yú,CJK]
馁	[饣爫女,něi,CJK]
馂	[饣厶八夂,jùn,CJK]
馃	[饣田木,guǒ,CJK]
馄	[饣日匕,hún,CJK]
馅	[饣⺈臼,xiàn,CJK]
馆	[饣宀㠯,guǎn,CJK]
馇	[饣木日一,chā_zha,CJK]
馈	[饣虫贝,kuì,CJK]
馉	[饣骨,gǔ,CJK]
馊	[饣臼丨又,sōu,CJK]
馋	[饣儿゛,chán,CJK]
馌	[饣土厶皿,yè,CJK]
馍	[饣艹日大,mó,CJK]
馎	[饣甫寸,bó,CJK]
馏	[饣卯田,liú_liù,CJK]
馐	[饣⺶ヿ土,xiū,CJK]
馑	[饣廿口龶,jǐn,CJK]
馒	[饣日罒又,mán,CJK]
馓	[饣龷⺝攵,sǎn,CJK]
馔	[饣巳巳龷八,zhuàn,CJK]
馕	[饣十口冖吅井一𧘇,náng_nǎng,CJK]
首	[䒑自,shǒu,CJK]
馗	[九䒑自,kuí_qiú,CJK]
馘	[䒑自戈口一,guó_xù,CJK]
香	[禾日,xiāng,CJK]
馚	[禾日八刀,fén,CJK]
馛	[禾日𠂇又丶,bó,CJK]
馜	[禾日尸匕,nǐ,CJK]
馝	[禾日心丿,bì,CJK]
馞	[禾日十冖子,bó_pò,CJK]
馟	[禾日爫子,tú,CJK]
馠	[禾日亽ヿ口,hān,CJK]
馡	[禾日非,fēi,CJK]
馢	[禾日戈戈,jiān,CJK]
馣	[禾日大日乚,ān,CJK]
馤	[禾日日勹亾,ài,CJK]
馥	[禾日𠂉日夂,fù_bì,CJK]
馦	[禾日䒑,xiān,CJK]
馧	[禾日日皿,yūn_wò,CJK]
馨	[士殳禾日,xīn,CJK]
馩	[禾日十艹貝,fén,CJK]
馪	[禾日宀一貝,pīn,CJK]
馫	[禾日禾日禾日,xīn,CJK]
馬	[馬,mǎ,CJK]
馭	[馬又,yù,CJK]
馮	[冫馬,féng_píng,CJK]
馯	[馬干,hàn_qián_hán,CJK]
馰	[馬勹丶,dí,CJK]
馱	[馬大,tuó_duò_dài,CJK]
馲	[馬丿七,zhé_tuō,CJK]
馳	[馬也,chí,CJK]
馴	[馬川,xún,CJK]
馵	[馬廾,zhù,CJK]
馶	[馬支,zhī_shì,CJK]
馷	[馬一巾,pèi,CJK]
馸	[馬斤,xìn_jìn,CJK]
馹	[馬日,rì,CJK]
馺	[馬及,sà,CJK]
馻	[馬厶儿,yǔn,CJK]
馼	[馬文,wén,CJK]
馽	[馬口丨,zhí,CJK]
馾	[馬冖儿,dàn_dǎn,CJK]
馿	[馬户,lǘ,CJK]
駀	[馬尤,yóu,CJK]
駁	[馬乂乂,bó,CJK]
駂	[匕十馬,bǎo,CJK]
駃	[馬人,jué_kuài,CJK]
駄	[馬大丶,tuó,CJK]
駅	[馬尸丶,yì,CJK]
駆	[馬匚㐅,qū,CJK]
駇	[馬攵,wén,CJK]
駈	[馬一,qū,CJK]
駉	[馬冂口,jiōng,CJK]
駊	[馬皮,pǒ,CJK]
駋	[馬刀口,zhāo,CJK]
